Bezirksvertretung,Fachthema,BezirksspezifischGeprueft,AnzahlQuellCSVs,Einzahlungen_2026_EUR,Auszahlungen_2026_EUR,Saldo_2026_EUR,Einzahlungen_2027_EUR,Auszahlungen_2027_EUR,Saldo_2027_EUR
Muenster-Mitte,Abwasserbeseitigung,JA,14,0.0,800000.0,-800000.0,0.0,2450000.0,-2450000.0
Muenster-Nord,Abwasserbeseitigung,JA,6,0.0,0.0,0.0,0.0,0.0,0.0
Muenster-Ost,Abwasserbeseitigung,JA,5,0.0,1910000.0,-1910000.0,0.0,2350000.0,-2350000.0
Muenster-Suedost,Abwasserbeseitigung,JA,12,0.0,1820000.0,-1820000.0,0.0,4250000.0,-4250000.0
Muenster-Hiltrup,Abwasserbeseitigung,JA,8,0.0,3800000.0,-3800000.0,0.0,4470000.0,-4470000.0
Muenster-West,Abwasserbeseitigung,JA,16,0.0,2050000.0,-2050000.0,0.0,2450000.0,-2450000.0
Muenster-Mitte,Bäder,JA,5,0.0,403450.0,-403450.0,0.0,590300.0,-590300.0
Muenster-Nord,Bäder,JA,2,0.0,253450.0,-253450.0,0.0,90300.0,-90300.0
Muenster-Ost,Bäder,JA,3,0.0,253450.0,-253450.0,0.0,590300.0,-590300.0
Muenster-Suedost,Bäder,JA,2,0.0,253450.0,-253450.0,0.0,90300.0,-90300.0
Muenster-Hiltrup,Bäder,JA,3,0.0,323450.0,-323450.0,0.0,190300.0,-190300.0
Muenster-West,Bäder,JA,4,0.0,493450.0,-493450.0,0.0,90300.0,-90300.0
Muenster-Mitte,Bereitstellung von Verkehrsflächen und -anlagen,JA,26,5430000.0,9760000.0,-4330000.0,5590000.0,11180000.0,-5590000.0
Muenster-Nord,Bereitstellung von Verkehrsflächen und -anlagen,JA,11,2700000.0,7450000.0,-4750000.0,1500000.0,6000000.0,-4500000.0
Muenster-Ost,Bereitstellung von Verkehrsflächen und -anlagen,JA,8,1280000.0,5170000.0,-3890000.0,1000000.0,6100000.0,-5100000.0
Muenster-Suedost,Bereitstellung von Verkehrsflächen und -anlagen,JA,14,1000000.0,4350000.0,-3350000.0,1000000.0,5215000.0,-4215000.0
Muenster-Hiltrup,Bereitstellung von Verkehrsflächen und -anlagen,JA,10,1000000.0,3500000.0,-2500000.0,1130000.0,3700000.0,-2570000.0
Muenster-West,Bereitstellung von Verkehrsflächen und -anlagen,JA,18,2000000.0,8295000.0,-6295000.0,2000000.0,8000000.0,-6000000.0
