Code,Bezeichnung,Ebene,Ertraege_2026_EUR,Aufwendungen_2026_EUR,OrdentlErgebnis_2026_EUR,Ertraege_2027_EUR,Aufwendungen_2027_EUR,OrdentlErgebnis_2027_EUR,Einzahlungen_lfdVerw_2026_EUR,Auszahlungen_lfdVerw_2026_EUR,SaldoLfdVerw_2026_EUR,Einzahlungen_Investitionstaetigkeit_2026_EUR,Auszahlungen_Investitionstaetigkeit_2026_EUR,SaldoInvestitionstaetigkeit_2026_EUR,Finanzmittelueberschuss_fehlbetrag_2026_EUR,Einzahlungen_lfdVerw_2027_EUR,Auszahlungen_lfdVerw_2027_EUR,SaldoLfdVerw_2027_EUR,Einzahlungen_Investitionstaetigkeit_2027_EUR,Auszahlungen_Investitionstaetigkeit_2027_EUR,SaldoInvestitionstaetigkeit_2027_EUR,Finanzmittelueberschuss_fehlbetrag_2027_EUR
0101,Bezirksvertretungen/frei verfügb. Mittel,PG,,338560.0,-338560.0,,404560.0,-404560.0,,338560.0,-338560.0,,,,-338560.0,,404560.0,-404560.0,,,,-404560.0
0102,"GF für polit. Gremien, internat. Beziehungen",PG,288240.0,5862130.0,-5573890.0,267850.0,5885500.0,-5617650.0,288240.0,5611430.0,-5323190.0,,2000.0,-2000.0,-5325190.0,267850.0,5636750.0,-5368900.0,,2000.0,-2000.0,-5370900.0
0103,"OB, BM und Verwaltungsführung",PG,272000.0,9274030.0,-9002030.0,221860.0,9224940.0,-9003080.0,264210.0,8134050.0,-7869840.0,,7340.0,-7340.0,-7877180.0,210000.0,8094340.0,-7884340.0,,7340.0,-7340.0,-7891680.0
0104,Gleichstellung aller Geschlechter,PG,4000.0,2289290.0,-2285290.0,4370.0,2272360.0,-2267990.0,4000.0,2241830.0,-2237830.0,,,,-2237830.0,4000.0,2225260.0,-2221260.0,,,,-2221260.0
0105,Personal- u. Schwerbehindertenvertretung,PG,210000.0,2061450.0,-1851450.0,211350.0,2074440.0,-1863090.0,210000.0,1890490.0,-1680490.0,,,,-1680490.0,210000.0,1904850.0,-1694850.0,,,,-1694850.0
0106,Wirtschaftlichkeitsprüfung und Revision,PG,61660.0,2176140.0,-2114480.0,63180.0,2162740.0,-2099560.0,61660.0,1843340.0,-1781680.0,,,,-1781680.0,63180.0,1832760.0,-1769580.0,,,,-1769580.0
0107,Public Relations,PG,58300.0,1841850.0,-1783550.0,62060.0,1831220.0,-1769160.0,58300.0,1802310.0,-1744010.0,,2160.0,-2160.0,-1746170.0,59200.0,1792270.0,-1733070.0,,2160.0,-2160.0,-1735230.0
0108,Personal- und Organisationsmanagement,PG,3154710.0,24113990.0,-20959280.0,3154710.0,24477330.0,-21322620.0,3149000.0,25937970.0,-22788970.0,,,,-22788970.0,3149000.0,26319270.0,-23170270.0,,,,-23170270.0
0109,Finanz- und Beteiligungsmanagement,PG,1983830.0,16656010.0,-14672180.0,2003200.0,16381270.0,-14378070.0,1983700.0,14842340.0,-12858640.0,,10000.0,-10000.0,-12868640.0,1991700.0,14582820.0,-12591120.0,,10000.0,-10000.0,-12601120.0
0110,Recht,PG,682860.0,2956770.0,-2273910.0,684190.0,2988180.0,-2303990.0,682860.0,7378930.0,-6696070.0,,,,-6696070.0,682860.0,7410000.0,-6727140.0,,,,-6727140.0
0111,Immobilienmanagement,PG,38599780.0,128438230.0,-89838450.0,38333200.0,128730470.0,-90397270.0,19615790.0,99432320.0,-79816530.0,6910050.0,55014950.0,-48104900.0,-127921430.0,19872500.0,99723790.0,-79851290.0,20327900.0,46526000.0,-26198100.0,-106049390.0
0113,Zentrale Dienste,PG,1560610.0,21449710.0,-19889100.0,1557710.0,20758060.0,-19200350.0,1557300.0,21213350.0,-19656050.0,6000.0,17960600.0,-17954600.0,-37610650.0,1557300.0,20526760.0,-18969460.0,6000.0,37603000.0,-37597000.0,-56566460.0
0114,Stiftungsmanagement,PG,500000.0,514260.0,-14260.0,500000.0,520930.0,-20930.0,500000.0,496480.0,3520.0,,,,3520.0,500000.0,503260.0,-3260.0,,,,-3260.0
0115,IT-Management (citeq),PG,,8000.0,-8000.0,,8000.0,-8000.0,,8000.0,-8000.0,3890000.0,4848470.0,-958470.0,-966470.0,,8000.0,-8000.0,8247280.0,9689900.0,-1442620.0,-1450620.0
0116,Migrations- und Integrationsmanagement,PG,693320.0,1263440.0,-570120.0,599800.0,1352920.0,-753120.0,693320.0,1197640.0,-504320.0,,,,-504320.0,599800.0,1287690.0,-687890.0,,,,-687890.0
01,Innere Verwaltung,PB,48069310.0,219243860.0,-171174550.0,47663480.0,219072920.0,-171409440.0,29068380.0,192369040.0,-163300660.0,10806050.0,77845520.0,-67039470.0,-230340130.0,29167390.0,192252380.0,-163084990.0,28581180.0,93840400.0,-65259220.0,-228344210.0
0201,Ordnungsrechtliche Angelegenheiten,PG,485000.0,7315300.0,-6830300.0,492210.0,7358520.0,-6866310.0,485000.0,6957350.0,-6472350.0,,8640.0,-8640.0,-6480990.0,485000.0,7002780.0,-6517780.0,,42140.0,-42140.0,-6559920.0
0202,Gewerberechtliche Angelegenheiten,PG,1330000.0,2295110.0,-965110.0,1330000.0,2282730.0,-952730.0,1330000.0,2028500.0,-698500.0,,,,-698500.0,1330000.0,2018230.0,-688230.0,,,,-688230.0
0203,Straßenverkehrsrechtliche Angelegenheit,PG,16499000.0,12635230.0,3863770.0,16999000.0,12638740.0,4360260.0,16499000.0,11319540.0,5179460.0,,9480.0,-9480.0,5169980.0,16999000.0,11331940.0,5667060.0,,20480.0,-20480.0,5646580.0
0204,Bürgerangelegenheiten,PG,5730230.0,9346670.0,-3616440.0,5981410.0,9330350.0,-3348940.0,5727420.0,8416210.0,-2688790.0,,2500.0,-2500.0,-2691290.0,5960620.0,8407600.0,-2446980.0,,2500.0,-2500.0,-2449480.0
0205,Standesamtsangelegenheiten,PG,474030.0,2032060.0,-1558030.0,474030.0,2007570.0,-1533540.0,474000.0,1655300.0,-1181300.0,,1000.0,-1000.0,-1182300.0,474000.0,1634100.0,-1160100.0,,1000.0,-1000.0,-1161100.0
0206,Ausländerangelegenheiten,PG,702230.0,5157100.0,-4454870.0,699070.0,5143310.0,-4444240.0,702200.0,4515460.0,-3813260.0,,,,-3813260.0,697700.0,4509000.0,-3811300.0,,,,-3811300.0
0207,Statistik,PG,550.0,709450.0,-708900.0,550.0,714290.0,-713740.0,550.0,680800.0,-680250.0,,,,-680250.0,550.0,685810.0,-685260.0,,,,-685260.0
0208,Wahlen,PG,,2510.0,-2510.0,489500.0,873130.0,-383630.0,,2420.0,-2420.0,,1000.0,-1000.0,-3420.0,489500.0,873040.0,-383540.0,,5000.0,-5000.0,-388540.0
