Code,Bezeichnung,Ebene,Stellen_Beamte_VZAE_2026,Stellen_Tarif_VZAE_2026,Stellen_Gesamt_VZAE_2026,Stellen_Beamte_VZAE_2027,Stellen_Tarif_VZAE_2027,Stellen_Gesamt_VZAE_2027
0102,"GESCHÄFTSFÜHRUNG FÜR POLITISCHE GREMIEN, STÄDTEPARTNERSCHAFTEN",PG,5.62,15.69,21.31,5.62,15.69,21.31
0103,"OB, BM UND VERWALTUNGSFÜHRUNG",PG,19.73,44.33,64.06,19.73,44.33,64.06
0104,GLEICHSTELLUNG ALLER GESCHLECHTER,PG,1.0,6.0,7.0,1.27,6.0,7.27
0105,PERSONAL- UND SCHWERBEHINDERTEN- VERTRETUNG,PG,1.0,8.0,9.0,1.0,8.0,9.0
0106,WIRTSCHAFTLICHKEITS- PRÜFUNG UND REVISION,PG,9.56,7.82,17.38,9.56,7.82,17.38
0107,PUBLIC RELATIONS,PG,0.0,14.63,14.63,0.0,14.63,14.63
0108,PERSONAL- UND ORGANISATIONS- MANAGEMENT,PG,58.88,71.18,130.06,58.11,72.18,130.29
0109,FINANZ- UND BETEILIGUNGS- MANAGEMENT,PG,60.5,70.3,130.8,60.5,70.3,130.8
0110,RECHT,PG,3.5,8.75,12.25,3.5,8.75,12.25
0111,IMMOBILIENMANAGEMENT,PG,48.53,233.46,281.99,48.03,233.46,281.49
0113,ZENTRALE DIENSTE,PG,4.99,30.82,35.81,4.99,30.82,35.81
0114,STIFTUNGSMANAGEMENT,PG,0.39,5.0,5.39,0.39,5.0,5.39
0115,IT-MANAGEMENT (CITEQ),PG,30.0,0.0,30.0,30.0,0.0,30.0
0116,MIGRATIONS- UND INTEGRATIONS- MANAGEMENT,PG,1.75,7.98,9.73,1.75,7.98,9.73
0201,ORDNUNGSRECHTLICHE ANGELEGENHEITEN,PG,5.02,53.88,58.9,5.02,53.88,58.9
0202,GEWERBERECHTLICHE ANGELEGENHEITEN,PG,6.85,9.43,16.28,6.85,9.43,16.28
0203,STRAßENVERKEHRS- RECHTLICHE ANGELEGENHEITEN,PG,37.14,100.93,138.07,37.14,100.93,138.07
