Code,Bezeichnung,Jahr,Beamte_B10,Beamte_B6,Beamte_B5,Beamte_B2,Beamte_A16,Beamte_A15,Beamte_A14,Beamte_A13_LG2E2,Beamte_A13_LG2E1,Beamte_A12,Beamte_A11,Beamte_A10,Beamte_A9Z,Beamte_A9,Beamte_A8,Beamte_A7,Tarif_E15,Tarif_E14,Tarif_E13,Tarif_E12,Tarif_E11,Tarif_E10,Tarif_E09C,Tarif_E09B,Tarif_E09A,Tarif_E08,Tarif_E07,Tarif_E06,Tarif_E05,Tarif_E04,Tarif_E03,Tarif_E02,Tarif_P09,Tarif_P08,Tarif_P07,Tarif_S18,Tarif_S17,Tarif_S16,Tarif_S15,Tarif_S14,Tarif_S13,Tarif_S12,Tarif_S11B,Tarif_S10,Tarif_S09,Tarif_S08B,Tarif_S08A,Tarif_S03,Tarif_S02,Tarif_TVOEDFEST,Summe_VZAE
0102,"GESCHÄFTSFÜHRUNG FÜR POLITISCHE GREMIEN, STÄDTEPARTNERSCHAFTEN",2026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.75,1.0,0.0,1.75,0.12,0.0,0.0,0.0,0.0,0.79,2.23,0.0,0.0,1.76,1.0,2.84,0.45,2.66,0.0,0.53,1.66,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.31
0102,"GESCHÄFTSFÜHRUNG FÜR POLITISCHE GREMIEN, STÄDTEPARTNERSCHAFTEN",2027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.75,1.0,0.0,1.75,0.12,0.0,0.0,0.0,0.0,0.79,2.23,0.0,0.0,1.76,1.0,2.84,0.45,2.66,0.0,0.53,1.66,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.31
0103,"OB, BM UND VERWALTUNGSFÜHRUNG",2026,1.0,1.0,5.0,2.0,1.0,0.0,5.0,0.0,1.23,0.5,2.0,0.0,0.0,0.0,1.0,0.0,6.0,9.25,6.0,6.74,2.08,0.0,0.0,0.0,1.0,7.0,4.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.06
0103,"OB, BM UND VERWALTUNGSFÜHRUNG",2027,1.0,1.0,5.0,2.0,1.0,0.0,5.0,0.0,1.23,0.5,2.0,0.0,0.0,0.0,1.0,0.0,6.0,9.25,6.0,6.74,2.08,0.0,0.0,0.0,1.0,7.0,4.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64.06
0104,GLEICHSTELLUNG ALLER GESCHLECHTER,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
0104,GLEICHSTELLUNG ALLER GESCHLECHTER,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27
0105,PERSONAL- UND SCHWERBEHINDERTEN- VERTRETUNG,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.38,1.0,1.0,0.0,2.0,0.5,0.64,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0105,PERSONAL- UND SCHWERBEHINDERTEN- VERTRETUNG,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.38,1.0,1.0,0.0,2.0,0.5,0.64,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
0106,WIRTSCHAFTLICHKEITS- PRÜFUNG UND REVISION,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.5,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.38
0106,WIRTSCHAFTLICHKEITS- PRÜFUNG UND REVISION,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.5,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.38
