LfdNr,Produktgruppe,Amt,Ausschuss,Empfaenger,Verwendungszweck_Zielsetzung,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR,verpflichtend_freiwillig,zeitliche_Befristung
1,0102,33,AWFLD,"unterschiedliche Empfänger/innen, welche erst im Laufe des HH-Jahres bekannt werden (Antragsverfahren)",Zuschüsse für Begegnungen und Projekte zur Förderung der Beziehungen zu den Partnerstädten.,46000.0,0.0,0.0,46000.0,46000.0,0.0,0.0,46000.0,freiwillig,jährlich
2,0102,33,AWFLD,"unterschiedliche Empfänger/innen, welche erst im Laufe des HH-Jahres bekannt werden (Antragsverfahren)",Zuschüsse des Integrationsrates für Projekte und Kooperationen,29440.0,0.0,0.0,29440.0,29440.0,0.0,0.0,29440.0,freiwillig,jährlich
3,0102,33,AWFLD,Stiftung Siverdes,Fortführung der Ehrenamtskarte,35000.0,0.0,0.0,35000.0,35000.0,0.0,0.0,35000.0,freiwillig,31.12.2028
4,0103,OB,AWFLD,privates Unternehmen als Organisator des Stadtfestes,Zuschuss Stadtfest,80000.0,0.0,0.0,80000.0,80000.0,0.0,0.0,80000.0,freiwillig,31.12.2028
5,0104,17,AGL,Beratungsstelle Frauen helfen Frauen e. V.,"Beratung und Therapie für Frauen, bes. Essstörungen und Dissoziativer Identitätsstörung Frauen",193760.0,176428.0,0.0,17332.0,196480.0,179148.0,0.0,17332.0,dem Grunde nach,31.12.2028
6,0104,17,AGL,Beratungsstelle Beratung und Therapie e. V.,Verbesserung der psychischen und sozialen Notlage von Frauen,187460.0,170889.0,0.0,16571.0,190070.0,173498.0,0.0,16572.0,dem Grunde nach,31.12.2028
7,0104,17,AGL,Beratungsstelle Frauen-Notruf Münster e.V.,Beratung und Unterstützung von Frauen und Mädchen bei sexualisierter Gewalt,162790.0,148514.0,0.0,14276.0,164750.0,150474.0,0.0,14276.0,dem Grunde nach,31.12.2028
8,0104,17,AGL,Frauen und Mädchen Selbstverteidigung und Sport e.V. Münster,Hilfe bei Selbstbehauptung und Selbstverteidigung für Frauen und Mädchen,103270.0,91075.0,0.0,12195.0,105090.0,92895.0,0.0,12195.0,freiwillig,31.12.2032
9,0104,17,AGL,Frauen und neue Medien e. V.,Förderung von Kompetenz und Sachverständnis für Frauen und Mädchen mit digitalen Kommunikationstechnologien,42250.0,38617.0,0.0,3633.0,43020.0,39387.0,0.0,3633.0,freiwillig,31.12.2032
10,0104,17,AGL,Kompanera / BerufsWege e.V.,Förderung der gleichberechtigten Berufsbildung und -tätigkeit von Frauen*,141400.0,127632.0,0.0,13768.0,143950.0,130183.0,0.0,13767.0,freiwillig,31.12.2032
