Code,Bezeichnung,Ebene,AnzahlZuschuesse,Zuschuss_2026_EUR,davon_Personalkosten_2026_EUR,davon_Overhead_2026_EUR,davon_sonstigeKosten_2026_EUR,Zuschuss_2027_EUR,davon_Personalkosten_2027_EUR,davon_Overhead_2027_EUR,davon_sonstigeKosten_2027_EUR
0102,"GF für polit. Gremien, internat. Beziehungen",PG,3,110440.0,0.0,0.0,110440.0,110440.0,0.0,0.0,110440.0
0103,"OB, BM und Verwaltungsführung",PG,1,80000.0,0.0,0.0,80000.0,80000.0,0.0,0.0,80000.0
0104,Gleichstellung aller Geschlechter,PG,21,1440760.0,1211000.0,0.0,229760.0,1457620.0,1227860.0,0.0,229760.0
0108,Personal- und Organisationsmanagement,PG,1,4350.0,0.0,0.0,4350.0,4350.0,0.0,0.0,4350.0
0113,Zentrale Dienste,PG,2,102000.0,0.0,0.0,102000.0,104000.0,0.0,0.0,104000.0
0116,Migrations- und Integrationsmanagement,PG,8,162477.0,23165.0,0.0,139312.0,287940.0,148628.0,0.0,139312.0
0201,Ordnungsrechtliche Angelegenheiten,PG,1,30000.0,0.0,0.0,30000.0,30000.0,0.0,0.0,30000.0
0203,Straßenverkehrsrechtliche Angelegenheit,PG,1,26000.0,26000.0,0.0,0.0,26000.0,26000.0,0.0,0.0
0209,Brandschutz & feuerwehrt.Hilfeleistungen,PG,3,8510.0,1010.0,0.0,7500.0,8510.0,1010.0,0.0,7500.0
0301,Leistungen für Schulen,PG,11,4088980.0,3382247.0,155223.0,551510.0,4194110.0,3479785.0,154615.0,559710.0
0302,Zentr.Leist. f. am Schulleben Beteiligte,PG,7,564790.0,384480.0,9850.0,170460.0,691290.0,477780.0,29850.0,183660.0
0401,Kulturmanagement / Kulturförderung,PG,40,3023480.0,2538455.0,0.0,485025.0,2967810.0,2520917.0,0.0,446893.0
0403,Westf. Schule für Musik,PG,5,1102660.0,992900.0,0.0,109760.0,1121170.0,1009570.0,0.0,111600.0
0404,Stadtbücherei u. Förderung freier Träger,PG,4,127630.0,0.0,0.0,127630.0,127630.0,0.0,0.0,127630.0
0406,Stadtarchiv,PG,1,23000.0,0.0,0.0,23000.0,23000.0,0.0,0.0,23000.0
0502,Sicherung Lebensunterhalt,PG,2,321450.0,294620.0,0.0,26830.0,327340.0,300510.0,0.0,26830.0
0503,Sicherung besonderer sozialer Bedarfe,PG,77,4820125.0,3774170.0,0.0,1045945.0,4798185.0,3762590.0,0.0,1035585.0
0601,Förderung von Kindern in Tagesbetreuung,PG,8,161231650.0,101216.0,0.0,26619.0,162357830.0,103242.0,0.0,15919.0
0602,Kinder- und Jugendarbeit,PG,9,29512220.0,25824389.0,1969154.0,1718677.0,34724048.0,31042717.0,2008537.0,1672794.0
0603,Förd. v. benachteiligten jungen Menschen,PG,14,5001042.0,4218507.0,300000.0,482535.0,5297962.0,4503332.0,300000.0,494630.0
0604,Familienförderung,PG,51,3582900.0,0.0,0.0,0.0,3645056.0,0.0,0.0,0.0
0605,Erzieh.u.wirtschaftl.Hilfen für Familien,PG,15,2776483.0,0.0,0.0,0.0,2825463.0,0.0,0.0,0.0
0701,Gesundheitsdienste,PG,16,1453374.0,1079748.0,0.0,119972.0,1477130.0,1099170.0,0.0,122130.0
0801,"Sportentwicklung, Sportanlagen/-stätten",PG,17,4600430.0,64800.0,0.0,4520990.0,4598440.0,64800.0,0.0,4519000.0
0802,Bäder,PG,2,486000.0,0.0,0.0,486000.0,516000.0,0.0,0.0,516000.0
0901,"Stadt-/Regionalentwicklung, Stadtplanung",PG,2,533500.0,0.0,0.0,533500.0,534000.0,0.0,0.0,534000.0
1003,Wohnen,PG,1,3820.0,0.0,0.0,3820.0,3890.0,0.0,0.0,3890.0
1303,"Natur, Landschaft, Erholung,Wasserschutz",PG,7,224810.0,109650.0,0.0,115160.0,227060.0,110985.0,0.0,116075.0
1401,Übergreifender Umweltschutz,PG,9,335740.0,207080.0,0.0,128660.0,336540.0,209180.0,0.0,127360.0
01,Innere Verwaltung,Produktbereich-Summe,36,1900027.0,1234165.0,0.0,665862.0,2044350.0,1376488.0,0.0,667862.0
