section;source_file;pdf_page;printed_page;kind;year;code;label;level;unit;ordentliche_ertraege;ordentliche_aufwendungen;ordentliches_ergebnis;finanzergebnis;ergebnis_laufende_verwaltung;ausserordentliches_ergebnis;ergebnis_teilhaushalt;einzahlungen_laufend;auszahlungen_laufend;saldo_laufend;einzahlungen_investitionen;auszahlungen_investitionen;saldo_investitionen;finanzmittelueberschuss_fehlbetrag;einzahlungen_finanzierung;auszahlungen_finanzierung;saldo_finanzierung;verpflichtungsermaechtigungen
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0101;Bezirksvertretungen/frei verfügb. Mittel;product_group;EUR;;338560.00;-338560.00;;-338560.00;;-338560.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0102;GF für polit. Gremien, internat. Beziehungen;product_group;EUR;288240.00;5862130.00;-5573890.00;;-5573890.00;;-5573890.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0103;OB, BM und Verwaltungsführung;product_group;EUR;272000.00;9274030.00;-9002030.00;;-9002030.00;;-9002030.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0104;Gleichstellung aller Geschlechter;product_group;EUR;4000.00;2289290.00;-2285290.00;;-2285290.00;;-2285290.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0105;Personal- u. Schwerbehindertenvertretung;product_group;EUR;210000.00;2061450.00;-1851450.00;;-1851450.00;;-1851450.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0106;Wirtschaftlichkeitsprüfung und Revision;product_group;EUR;61660.00;2176140.00;-2114480.00;;-2114480.00;;-2114480.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0107;Public Relations;product_group;EUR;58300.00;1841850.00;-1783550.00;;-1783550.00;;-1783550.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0108;Personal- und Organisationsmanagement;product_group;EUR;3154710.00;24113990.00;-20959280.00;;-20959280.00;;-20959280.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0109;Finanz- und Beteiligungsmanagement;product_group;EUR;1983830.00;16656010.00;-14672180.00;;-14672180.00;;-14672180.00;;;;;;;;;;;
haushaltsquerschnitt;Haushaltsplan_2026-2027_Band_2_Stand_20.05.2026.pdf;71;67;ergebnisplanung;2026;0110;Recht;product_group;EUR;682860.00;2956770.00;-2273910.00;;-2273910.00;;-2273910.00;;;;;;;;;;;
