Ergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"712.929.372,93",733.670.000,772.920.000,798.750.000,813.840.000,825.640.000,822.440.000
02,+ ZuwendungenundallgemeineUmlagen,"317.474.510,50",338.191.060,329.117.380,316.433.700,318.280.500,316.862.970,316.028.150
03,+ SonstigeTransfererträge,"24.133.596,76",22.898.800,23.520.410,23.561.690,22.591.150,22.623.530,22.659.160
04,+ Öffentlich-rechtlicheLeistungsentgelte,"166.245.175,53",169.292.250,166.819.650,171.401.800,173.105.700,174.221.650,174.880.370
05,+ PrivatrechtlicheLeistungsentgelte,"26.700.089,47",27.786.110,29.099.230,29.418.880,30.396.670,30.536.970,30.561.670
06,+ KostenerstattungenundKostenumlagen,"282.865.394,45",292.569.210,283.515.830,289.006.140,291.846.240,296.582.960,299.427.630
07,+ SonstigeordentlicheErträge,"54.481.738,36",49.406.180,51.199.770,51.413.230,51.356.280,51.281.530,51.331.790
08,+ AktivierteEigenleistungen,"4.247.070,93",4.353.000,4.658.000,4.658.000,4.658.000,4.658.000,4.658.000
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"1.589.076.948,93",1.638.166.610,1.660.850.270,1.684.643.440,1.706.074.540,1.722.407.610,1.721.986.770
11,- Personalaufwendungen,"387.856.382,84",388.988.670,399.070.160,403.490.640,409.583.790,418.732.790,428.455.390
12,- Versorgungsaufwendungen,"36.471.289,82",32.287.900,37.793.410,33.064.540,33.725.880,34.477.960,35.246.750
13,- AufwendungenfürSach-undDienstleistungen,"165.449.909,35",180.219.370,171.340.980,171.533.400,168.005.220,163.711.250,163.784.190
14,- BilanzielleAbschreibungen,"88.375.001,92",90.167.570,91.373.160,91.693.160,92.095.420,92.490.660,93.127.360
15,- Transferaufwendungen,"850.386.126,61",885.738.840,899.059.340,912.399.470,928.274.840,932.283.910,939.398.680
16,- SonstigeordentlicheAufwendungen,"106.862.065,43",96.263.489,87.896.130,89.187.360,86.035.790,84.698.510,84.095.170
17,= OrdentlicheAufwendungen,"1.635.400.775,97",1.673.665.839,1.686.533.180,1.701.368.570,1.717.720.940,1.726.395.080,1.744.107.540
18,= OrdentlichesErgebnis (=Zeilen10und17),"46.323.827,04-",35.499.229-,25.682.910-,16.725.130-,11.646.400-,3.987.470-,22.120.770-
19,+ Finanzerträge,"17.159.672,87",27.230.700,21.624.880,23.844.030,24.007.180,24.082.330,24.118.480
20,- ZinsenundsonstigeFinanzaufwendungen,"28.366.889,21",39.007.000,42.707.000,45.007.000,46.007.000,47.007.000,48.007.000
21,= Finanzergebnis (=Zeilen19und20),"11.207.216,34-",11.776.300-,21.082.120-,21.162.970-,21.999.820-,22.924.670-,23.888.520-
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"57.531.043,38-",47.275.529-,46.765.030-,37.888.100-,33.646.220-,26.912.140-,46.009.290-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis (=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= Jahresergebnis (=Zeilen22und25),"57.531.043,38-",47.275.529-,46.765.030-,37.888.100-,33.646.220-,26.912.140-,46.009.290-
27,- globalerMinderaufwand,"0,00",180.000,0,0,7.000.000,8.000.000,9.000.000
28,= JahresergebnisnachAbzugglobalerMinderaufwand (=Zeilen26und27),"57.531.043,38-",47.095.529-,46.765.030-,37.888.100-,26.646.220-,18.912.140-,37.009.290-
