Finanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"710.221.193,59",733.670.000,772.920.000,798.750.000,813.840.000,825.640.000,822.440.000
02,+ ZuwendungenundallgemeineUmlagen,"276.917.715,54",305.416.860,295.823.250,283.626.920,284.185.180,282.970.470,282.983.820
03,+ SonstigeTransfereinzahlungen,"23.897.297,36",22.898.800,23.520.410,23.561.690,22.591.150,22.623.530,22.659.160
04,+ Öffentlich-rechtlicheLeistungsentgelte,"141.530.266,37",149.173.250,146.690.650,151.262.800,153.116.700,154.232.650,154.891.370
05,+ PrivatrechtlicheLeistungsentgelte,"26.144.745,35",27.771.960,29.074.230,29.393.880,30.377.520,30.517.820,30.542.520
06,"+ Kostenerstattungen,Kostenumlagen","280.686.000,40",292.569.210,283.515.830,289.006.140,291.846.240,296.582.960,299.427.630
07,+ SonstigeEinzahlungen,"27.544.336,18",44.077.930,45.813.430,46.053.850,45.996.900,45.922.150,45.972.410
08,+ ZinsenundsonstigeFinanzeinzahlungen,"17.149.756,69",27.230.700,21.624.880,23.844.030,24.007.180,24.082.330,24.118.480
09,= Einzahlungenauslfd.Verwaltungstätigkeit,"1.504.091.311,48",1.602.808.710,1.618.982.680,1.645.499.310,1.665.960.870,1.682.571.910,1.683.035.390
10,- Personalauszahlungen,"345.538.867,62",350.175.920,366.586.060,370.674.890,376.433.070,384.205.410,393.237.830
11,- Versorgungsauszahlungen,"38.905.063,87",31.963.430,36.000.000,31.958.490,32.523.700,29.466.460,30.123.500
12,- AuszahlungenfürSach-undDienstleistungen,"170.430.762,92",180.438.263,171.340.980,171.533.400,168.005.220,163.711.250,163.784.190
13,- ZinsenundsonstigeFinanzauszahlungen,"28.366.889,21",39.045.000,42.707.000,45.007.000,46.007.000,47.007.000,48.007.000
14,- Transferauszahlungen,"849.824.005,36",882.133.590,894.812.030,908.677.190,923.818.580,928.004.610,935.714.300
15,- SonstigeAuszahlungen,"103.955.543,64",120.240.279,116.328.320,117.619.550,89.467.980,88.130.700,87.527.360
16,= Auszahlungenauslfd.Verwaltungstätigkeit,"1.537.021.132,62",1.603.996.482,1.627.774.390,1.645.470.520,1.636.255.550,1.640.525.430,1.658.394.180
17,= SaldoauslaufenderVerwaltungstätigkeit (=Zeilen9und16),"32.929.821,14-",1.187.772-,8.791.710-,28.790,29.705.320,42.046.480,24.641.210
18,+ EinzahlungenausZuwendungenfürInvestitionsmaß.,"63.096.452,30",89.235.790,109.056.350,130.410.740,72.949.410,58.937.440,34.049.550
19,+ EinzahlungenausderVeräußerungvonSachanlagen,"587.659,15",581.420,590.120,590.120,590.120,590.120,590.120
20,+ EinzahlungenausderVeräußerungvonFinanzanl.,"904.666,44",16.715.840,18.330.710,16.746.060,6.510.710,16.128.600,15.993.830
21,+ EinzahlungenvonBeiträgenu.ä.Entgelten,"2.509.508,49",4.070.020,4.195.020,4.745.020,5.245.020,5.495.020,5.845.020
22,+ SonstigeInvestitionseinzahlungen,"7.335.805,03",16.200.000,4.200.000,6.900.000,16.100.000,7.000.000,18.400.000
23,= EinzahlungenausInvestitionstätigkeit,"74.434.091,41",126.803.070,136.372.200,159.391.940,101.395.260,88.151.180,74.878.520
24,- AuszahlungenfürdenErwerbvonGrundstückenund Gebäuden - AuszahlungenfürBaumaßnahmen - AuszahlungenfürdenErwerbvonbeweglichem Anlagevermögen - AuszahlungenfürdenErwerbvonFinanzanlagen - AuszahlungenvonaktivierbarenZuwendungen - SonstigeInvestitionsauszahlungen,"6.972.886,22",41.129.826,12.707.510,3.507.510,3.507.510,3.507.510,3.507.510
25,,"189.255.705,82",493.818.748,367.332.350,350.821.470,212.570.630,102.644.310,68.113.230
26,,"13.820.165,68",35.161.589,26.848.710,21.007.470,19.171.140,20.370.690,17.969.760
27,,"63.414.007,28",74.920.000,105.270.500,1.520.000,1.020.000,1.020.000,1.020.000
28,,"29.118.589,93",44.732.655,14.060.820,16.519.900,5.239.930,4.022.500,4.022.500
29,,"10.208,34",1.750.000,8.380.000,7.860.000,7.815.000,7.840.000,7.700.000
30,= AuszahlungenausInvestitionstätigkeit,"302.591.563,27",691.512.818,534.599.890,401.236.350,249.324.210,139.405.010,102.333.000
31,= SaldoausInvestitionstätigkeit (=Zeilen23und30),"228.157.471,86-",564.709.748-,398.227.690-,241.844.410-,147.928.950-,51.253.830-,27.454.480-
