Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"8.136.941,99",23.736.070,6.106.050,21.181.180,,,2.497.950,6.000,6.000
02,,"135.307,00",500.000,500.000,500.000,,,500.000,500.000,500.000
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"7.335.805,03",16.200.000,4.200.000,6.900.000,,,16.100.000,7.000.000,18.400.000
06,= Summederinvestiven Einzahlungen,"15.608.054,02",40.436.070,10.806.050,28.581.180,,,19.097.950,7.506.000,18.906.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"3.958.755,39",41.117.316,12.700.000,3.500.000,14.000.000,0,3.500.000,3.500.000,3.500.000
08,,"16.742.628,20",66.485.437,57.314.950,78.076.000,79.737.470,0,23.309.250,11.974.170,9.820.000
09,,"589.279,33",1.592.045,2.432.100,2.474.500,800.000,0,399.500,374.500,374.500
10,,"0,00",0,0,0,0,0,0,0,0
11,,"7.371.635,57",30.117.520,4.848.470,9.689.900,0,0,1.217.430,0,0
12,,"0,00",625.000,550.000,100.000,200.000,0,100.000,100.000,100.000
13,= Summederinvestiven Auszahlungen,"28.662.298,49",139.937.318,77.845.520,93.840.400,94.737.470,0,28.526.180,15.948.670,13.794.500
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"13.054.244,47-",99.501.248-,67.039.470-,65.259.220-,,,9.428.230-,8.442.670-,5.111.500
