,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Leistungsdaten -BevölkerungderStadtMünsterinsgesamt -Weiblich(Geschlechtseintragnach§22(3)PStG)in% -Männlich(Geschlechtseintragnach§22(3)PStG)in% -Divers(Geschlechtseintragnach§22(3)PStG)in% -OhneAngabe(Geschlechtseintragnach§22(3)PStG)in% -BeschäftigtederStadtverwaltunginsgesamt -Weiblich(Geschlechtseintragnach§22(3)PStG)in% -Männlich(Geschlechtseintragnach§22(3)PStG)in% -Divers(Geschlechtseintragnach§22(3)PStG)in% -OhneAngabe(Geschlechtseintragnach§22(3)PStG)in% -FinanzFAIRteilung:AnzahlderinternenBeratungsgespräche -BeratungenstädtischerBeschäftigterinsgesamt -Weiblich(Geschlechtseintragnach§22(3)PStG) -Männlich(Geschlechtseintragnach§22(3)PStG) -Divers(Geschlechtseintragnach§22(3)PStG) -OhneAngabe(Geschlechtseintragnach§22(3)PStG) -FinanzFAIRteilung:AnzahlderexternenBeratungsgespräche -Weiblich(Geschlechtseintragnach§22(3)PStG) -Männlich(Geschlechtseintragnach§22(3)PStG) -Divers(Geschlechtseintragnach§22(3)PStG) -OhneAngabe(Geschlechtseintragnach§22(3)PStG),322.715 52 48 7.983 55 45 34 28 6 36 32 3 1,332.000,332.000,,332.000,332.000,332.000,332.000
,,51,51,,51,51,51,51
,,47,47,,47,47,47,47
,,1,1,,1,1,1,1
,,1,1,,1,1,1,1
,,7.700,7.700,,8.000,8.000,8.000,8.000
,,57,57,,57,57,57,57
,,41,41,,41,41,41,41
,,1,1,,1,1,1,1
,,1,1,,1,1,1,1
,,40,40,,40,40,40,40
,,17,17,,17,17,17,17
,,7,7,,20,20,20,20
,,4,4,,4,4,4,4
,,3,3,,3,3,3,3
,,3,3,,3,3,3,3
,,19,19,,40,40,40,40
,,10,10,,10,10,10,10
,,3,3,,3,3,3,3
,,3,3,,3,3,3,3
,,3,3,,3,3,3,3
