Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"0,00",0,0,0,0,0,0
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"41.280,00",39.000,48.350,49.450,50.550,51.300,52.400
07,+ SonstigeordentlicheErträge,"10.504,00",8.600,13.310,13.730,13.980,14.230,14.490
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"51.784,00",47.600,61.660,63.180,64.530,65.530,66.890
11,- Personalaufwendungen,"1.874.981,80",1.901.850,1.815.300,1.841.940,1.869.120,1.910.830,1.954.710
12,- Versorgungsaufwendungen,"417.883,02",352.950,325.910,285.140,290.840,297.320,303.950
13,- AufwendungenfürSach-undDienstleistungen,"123.915,15",13.240,9.080,9.080,9.080,9.080,9.080
14,- BilanzielleAbschreibungen,"487,49",490,490,490,490,490,490
15,- Transferaufwendungen,"0,00",0,0,0,0,0,0
16,- SonstigeordentlicheAufwendungen,"15.660,58",17.470,25.360,26.090,27.450,28.450,29.810
17,= OrdentlicheAufwendungen,"2.432.928,04",2.286.000,2.176.140,2.162.740,2.196.980,2.246.170,2.298.040
18,= OrdentlichesErgebnis(=Zeilen10und17),"2.381.144,04-",2.238.400-,2.114.480-,2.099.560-,2.132.450-,2.180.640-,2.231.150-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"2.381.144,04-",2.238.400-,2.114.480-,2.099.560-,2.132.450-,2.180.640-,2.231.150-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"2.381.144,04-",2.238.400-,2.114.480-,2.099.560-,2.132.450-,2.180.640-,2.231.150-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"32.360,00",32.360,30.750,30.750,30.750,30.750,30.750
29,"= Ergebnis(=Zeilen26,27,28)","2.413.504,04-",2.270.760-,2.145.230-,2.130.310-,2.163.200-,2.211.390-,2.261.900-
