,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
"Zielkennzahlen -Zum1.Ziel:ZahlPressemitteilungen(perE-Mailverschicktu.parallel inwww.muenster.deveröffentlicht) -Zum1.Ziel:ZahlPressetermine/-einladungen -Zahlder#ForumIntern#Publikationen -Zum1.Ziel:ZahlAusgabenAmtsblatt -Zum1.Ziel:DrehtagefürFilmproduktioneninMünster -Zum1.Ziel:Zahlder""Fans""derFacebook-SeitederStadtMünster -Zum1.Ziel:ZahlderAbonnentenderInstagramSeitederStadt Münster -Zum1.Ziel:BeantworteteMedienanfragen -Zum2.Ziel:MigrierteWebseiten(Panorama-Format, Sonderwebseiten)",1.147,1.200,1.200,,1.200,1.200,1.200,1.200
,90,100,100,,100,100,100,100
,4,4,4,,4,4,4,4
,28,26,26,,26,26,28,26
,50,35,45,,48,48,48,48
,41.453,41.000,42.000,,42.000,42.000,42.000,42.000
,79.700,82.000,82.000,,83.000,83.000,83.000,83.000
,1.997,1.800,2.000,,2.000,2.000,2.000,2.000
,6,13,8,,5,5,5,5
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-6,29","-6,62","-5,58",,"-5,53","-5,62","-5,73","-5,84"
,"3,1","2,8","3,4",,"3,6","3,6","3,5","3,2"
