Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"10.786.280,53",10.765.400,10.575.700,10.060.700,10.610.700,10.730.700,10.730.700
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"1.860,00",1.000,1.000,1.000,1.000,1.000,1.000
05,+ PrivatrechtlicheLeistungsentgelte,"17.894.091,90",17.531.780,18.424.790,18.687.500,18.831.650,18.931.650,18.931.650
06,+ KostenerstattungenundKostenumlagen,"1.160.403,27",521.000,854.000,848.000,848.000,848.000,826.000
07,+ SonstigeordentlicheErträge,"8.646.587,02",8.246.240,8.339.290,8.331.000,8.331.000,8.331.000,8.331.000
08,+ AktivierteEigenleistungen,"458.050,00",400.000,405.000,405.000,405.000,405.000,405.000
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"38.947.272,72",37.465.420,38.599.780,38.333.200,39.027.350,39.247.350,39.225.350
11,- Personalaufwendungen,"21.887.947,91",22.920.660,23.344.880,23.730.870,24.138.690,24.675.020,25.249.010
12,- Versorgungsaufwendungen,"1.813.287,14",1.392.900,1.477.990,1.293.050,1.318.910,1.348.330,1.378.400
13,- AufwendungenfürSach-undDienstleistungen,"62.810.365,72",63.642.440,50.966.070,50.539.070,47.800.670,43.057.280,43.057.280
14,- BilanzielleAbschreibungen,"26.083.235,97",25.971.930,27.065.200,27.248.400,27.779.800,28.659.000,29.533.900
15,- Transferaufwendungen,"296.178,97",61.750,256.820,86.530,86.530,86.530,86.530
16,- SonstigeordentlicheAufwendungen,"25.058.903,10",25.103.010,25.327.270,25.832.550,26.217.810,24.447.810,24.197.810
17,= OrdentlicheAufwendungen,"137.949.918,81",139.092.690,128.438.230,128.730.470,127.342.410,122.273.970,123.502.930
18,= OrdentlichesErgebnis(=Zeilen10und17),"99.002.646,09-",101.627.270-,89.838.450-,90.397.270-,88.315.060-,83.026.620-,84.277.580-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"99.002.646,09-",101.627.270-,89.838.450-,90.397.270-,88.315.060-,83.026.620-,84.277.580-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"99.002.646,09-",101.627.270-,89.838.450-,90.397.270-,88.315.060-,83.026.620-,84.277.580-
27,+ ErträgeausinternenLeistungsbeziehungen,"76.816.250,00",76.639.610,72.876.900,72.876.900,72.876.900,72.876.900,72.876.900
28,- AufwendungenausinternenLeistungsbeziehungen,"1.262.677,08",1.262.680,1.262.680,1.262.680,1.262.680,1.262.680,1.262.680
29,"= Ergebnis(=Zeilen26,27,28)","23.449.073,17-",26.250.340-,18.224.230-,18.783.050-,16.700.840-,11.412.400-,12.663.360-
