Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"1.513.499,60",708.000,2.210.050,12.927.900,,,1.518.000,0,0
02,,"135.307,00",500.000,500.000,500.000,,,500.000,500.000,500.000
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"7.335.805,03",16.200.000,4.200.000,6.900.000,,,16.100.000,7.000.000,18.400.000
06,= Summederinvestiven Einzahlungen,"8.984.611,63",17.408.000,6.910.050,20.327.900,,,18.118.000,7.500.000,18.900.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"3.958.755,39",41.117.316,12.700.000,3.500.000,14.000.000,0,3.500.000,3.500.000,3.500.000
08,,"13.194.815,68",41.415.437,40.564.950,42.726.000,39.710.000,0,18.531.780,11.924.170,9.770.000
09,,"301.705,36",843.305,1.200.000,200.000,800.000,0,200.000,200.000,200.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",625.000,550.000,100.000,200.000,0,100.000,100.000,100.000
13,= Summederinvestiven Auszahlungen,"17.455.276,43",84.001.058,55.014.950,46.526.000,54.710.000,0,22.331.780,15.724.170,13.570.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"8.470.664,80-",66.593.058-,48.104.900-,26.198.100-,,,4.213.780-,8.224.170-,5.330.000
