Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"30.513,60",6.000,6.000,6.000,,,6.000,6.000,6.000
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"30.513,60",6.000,6.000,6.000,,,6.000,6.000,6.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"3.547.812,52",25.070.000,16.750.000,35.350.000,40.027.470,0,4.777.470,50.000,50.000
09,,"287.573,97",431.481,1.210.600,2.253.000,0,0,178.000,153.000,153.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"3.835.386,49",25.501.481,17.960.600,37.603.000,40.027.470,0,4.955.470,203.000,203.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"3.804.872,89-",25.495.481-,17.954.600-,37.597.000-,,,4.949.470-,197.000-,197.000-
