Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"6.592.928,79",23.022.070,3.890.000,8.247.280,,,973.950,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"6.592.928,79",23.022.070,3.890.000,8.247.280,,,973.950,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,0,0,0,0,0,0,0
09,,"0,00",0,0,0,0,0,0,0,0
10,,"0,00",0,0,0,0,0,0,0,0
11,,"7.371.635,57",30.117.520,4.848.470,9.689.900,0,0,1.217.430,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"7.371.635,57",30.117.520,4.848.470,9.689.900,0,0,1.217.430,0,0
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"778.706,78-",7.095.450-,958.470-,1.442.620-,,,243.480-,0,0
