Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"1.469.090,04",1.525.150,693.320,599.800,599.800,599.800,599.800
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"3.300,00",0,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"7.680,00",0,0,0,0,0,0
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"1.480.070,04",1.525.150,693.320,599.800,599.800,599.800,599.800
11,- Personalaufwendungen,"987.891,34",710.430,757.390,837.110,856.940,872.770,889.660
12,- Versorgungsaufwendungen,"81.505,19",52.590,60.470,52.910,53.980,55.190,56.420
13,- AufwendungenfürSach-undDienstleistungen,"149.499,18",21.500,12.130,11.500,11.500,11.500,11.500
14,- BilanzielleAbschreibungen,"1.060,42",1.070,1.060,1.000,710,710,710
15,- Transferaufwendungen,"627.541,08",649.810,262.330,287.740,277.030,230.030,233.030
16,- SonstigeordentlicheAufwendungen,"153.393,69",689.010,170.060,162.660,162.660,162.660,162.660
17,= OrdentlicheAufwendungen,"2.000.890,90",2.124.410,1.263.440,1.352.920,1.362.820,1.332.860,1.353.980
18,= OrdentlichesErgebnis(=Zeilen10und17),"520.820,86-",599.260-,570.120-,753.120-,763.020-,733.060-,754.180-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"520.820,86-",599.260-,570.120-,753.120-,763.020-,733.060-,754.180-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"520.820,86-",599.260-,570.120-,753.120-,763.020-,733.060-,754.180-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"21.630,00",21.630,20.540,20.540,20.540,20.540,20.540
29,"= Ergebnis(=Zeilen26,27,28)","542.450,86-",620.890-,590.660-,773.660-,783.560-,753.600-,774.720-
