Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"989.357,73",730.000,700.000,700.000,,,700.000,700.000,700.000
02,,"308.597,15",58.000,66.700,66.700,,,66.700,66.700,66.700
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"1.297.954,88",788.000,766.700,766.700,,,766.700,766.700,766.700
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"2.282.059,76",8.558.420,13.879.000,16.982.000,27.570.000,0,12.344.880,3.384.260,100.000
09,,"4.815.243,68",14.895.539,8.958.120,2.605.620,8.404.000,1.220.000,3.678.620,9.537.620,8.398.620
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",2.500,2.500,2.500,0,0,2.500,2.500,2.500
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"7.097.303,44",23.456.459,22.839.620,19.590.120,35.974.000,1.220.000,16.026.000,12.924.380,8.501.120
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"5.799.348,56-",22.668.459-,22.072.920-,18.823.420-,,,15.259.300-,12.157.680-,7.734.420-
