Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"0,00",0,0,0,0,0,0
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"261.228,21",300.000,300.000,300.000,300.000,300.000,300.000
05,+ PrivatrechtlicheLeistungsentgelte,"1.021.754,73",1.070.000,1.020.000,1.020.000,1.020.000,1.020.000,1.020.000
06,+ KostenerstattungenundKostenumlagen,"26,00",0,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"37.307,81",10.000,10.000,10.000,10.000,10.000,10.000
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"1.320.316,75",1.380.000,1.330.000,1.330.000,1.330.000,1.330.000,1.330.000
11,- Personalaufwendungen,"1.133.524,16",1.266.880,1.262.850,1.281.080,1.299.590,1.328.570,1.358.990
12,- Versorgungsaufwendungen,"259.818,76",217.990,244.640,214.030,218.310,223.180,228.160
13,- AufwendungenfürSach-undDienstleistungen,"468.289,34",411.230,450.660,450.660,450.660,450.660,450.660
14,- BilanzielleAbschreibungen,"457,89",700,700,700,700,700,700
15,- Transferaufwendungen,"10.944,82",15.000,15.000,15.000,15.000,15.000,15.000
16,- SonstigeordentlicheAufwendungen,"320.148,09",323.130,321.260,321.260,321.260,321.260,321.260
17,= OrdentlicheAufwendungen,"2.193.183,06",2.234.930,2.295.110,2.282.730,2.305.520,2.339.370,2.374.770
18,= OrdentlichesErgebnis(=Zeilen10und17),"872.866,31-",854.930-,965.110-,952.730-,975.520-,1.009.370-,1.044.770-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"872.866,31-",854.930-,965.110-,952.730-,975.520-,1.009.370-,1.044.770-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"872.866,31-",854.930-,965.110-,952.730-,975.520-,1.009.370-,1.044.770-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"37.180,00",35.840,34.060,34.060,34.060,34.060,34.060
29,"= Ergebnis(=Zeilen26,27,28)","910.046,31-",890.770-,999.170-,986.790-,1.009.580-,1.043.430-,1.078.830-
