,,,,,,,,
"Beschreibung DieProduktgruppeumfasstimWesentlichendievonderStadtMünsterwahrzunehmendenAufgabenausdenBereichendesMelderechts,Pass-undAusweisrechts,Einbürgerungs-undStaatsangehörigkeitsrechts, Sozialversicherungsrechts(insbesondereRentenversicherungsrecht),sowiedesFundrechtes.CharakteristischfürdieindieserProduktgruppezusammengefasstenLeistungensindpersönlicheKurzkontakteunddas wohnortnaheAngebotüberdieBezirksverwaltungen.DieLeistungenwerdeninderInnenstadtundinallenBezirksverwaltungenangeboten.IndieserProduktgruppewirdaufeinehoheBürger(Kunden)-orientierung abgestellt.",,,,,,,,
BesonderheitenindenPlanjahren Keine,,,,,,,,
"Ziele 1.DieBürgerbürosinderInnenstadtunddenStadtteilenwollenderBürgerschaftmitihrenÖffnungszeiteneinkundenfreundlichesAngebotvorhalten,damitdiepersönlichzubeantragendenDienstleistungenoder WünscheindenvonderBürgerschaftamhäufigstennachgefragtenZeitenineinembreitangelegtemZeitkontingenterfolgenkönnen.DiebisherigenÖffnungszeiteninStundensollendaherzumindestkonstant bleiben.DiedurchschnittlicheWartezeitproBesucher/insoll15Min.nichtüberschreiten.",,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum1.Ziel:WöchentlicheÖffnungszeitenBürgerbüroMitte(inStd.) -Zum1.Ziel:WöchentlicheÖffnungszeitenBezirksverwaltungHiltrup (inStd.) -Zum1.Ziel:WöchentlicheÖffnungszeitenBezirksverwaltungWest(in Std.) -Zum1.Ziel:WöchentlicheÖffnungszeitenBezirksverwaltungNord(in Std.) -Zum1.Ziel:WöchentlicheÖffnungszeitenBezirksverwaltung Südost (inStd.) -Zum1.Ziel:WöchentlicheÖffnungszeitenBezirksverwaltungOst(in Std.) -Zum1.Ziel:DurchschnittlicheWartezeitproBesucher/in(inMinuten),44,44,44,,44,44,44,44
,28,28,28,,28,28,28,28
,40,40,40,,40,40,40,40
,28,28,28,,28,28,28,28
,32,32,32,,32,32,32,32
,20,20,20,,20,20,20,20
,15,15,15,,15,15,15,15
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-17,80","-12,00","-12,19",,"-11,36","-11,65","-11,55","-12,00"
,"45,6","59,1","59,3",,"62,0","61,4","61,6","60,7"
