,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum1.Ziel:AnzahlderamWochenendebereitgestelltenTermine -Zum2.Ziel:ÜberführungderpapierbasiertenEheregisterin elektronischeRegister -Zum3.Ziel:UrkundenausstellungbeiInternet-Anforderungbiszum Folgetag(in%),898,900,900,,900,900,900,900
,12.896,8.000,8.000,,8.000,8.000,8.000,8.000
,100,100,100,,100,100,100,100
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-5,66","-4,57","-5,21",,"-5,13","-5,22","-5,36","-5,50"
,"29,7","31,4","22,0",,"22,2","22,0","21,5","21,1"
"Leistungsdaten -AnzahlderEheschließungen -AnzahlderGeburten -AnzahlderSterbefälle -AnzahlderimStandesamtgeführtenPersonenstandsregister -ZahlderBeratungen,AnträgeundBescheideöffentlich-rechtliche Namensänderung",1.289,1.650,1.650,,1.650,1.650,1.650,1.650
,5.630,6.500,6.500,,6.500,6.500,6.500,6.500
,3.913,4.100,4.100,,4.100,4.100,4.100,4.100
,739.442,735.000,740.000,,745.000,750.000,750.000,750.000
,287,300,300,,300,300,300,300
