,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
"Zielkennzahlen -Zum1.Ziel:GesamterreichungsgradzudenZielen""Hilfsfrist""u. ""Funktionsstärke""(sieheBrandschutzbedarfsplan)(in%) -Zum2.Ziel:AnteilderNotrufe,dieinnerhalbeinerDispositionszeitvon max.90Sekundenbearbeitetwerden(in%) -Zum3.Ziel:AnteilderBrandverhütungsschauen,dieinnerhalbder vorgeschriebenenFristdurchgeführtwerden(in%) -Zum4.Ziel:AnteilderinnerhalbeinerFristvon10Arbeitstagen bearbeitetenbrandschutztechn.Stellungnahmen(in%)",64 15 50,90,90,,90,90,90,90
,,90,90,,90,90,90,90
,,80,80,,100,100,100,100
,,80,80,,80,80,80,80
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-120,75","-129,21","-136,88",,"-135,05","-137,62","-140,26","-143,85"
,"5,9","4,4","4,5",,"4,5","4,4","4,1","4,0"
"Leistungsdaten -AnzahlBrandeinsätze(einschl.Fehlalarme) -AnzahlderTechnischenHilfeleistungen -FallzahlenimvorbeugendenBrandschutz -FallzahlenimBereichKampfmittelüberprüfung -Vorgängegem.PsychKG -AnzahlderNotrufsignalisierungeninderLeitstelle(einschl. Rettungsdienst) -AnzahlderEinsatzbearbeitungeninderLeitstelle,gesamt(einschl. Rettungsdienst)",1.300 1.400 1.000 2.420 727 56.765,1.200,1.200,,1.200,1.200,1.200,1.200
,,2.200,2.200,,2.200,2.200,2.200,2.200
,,3.000,3.000,,3.000,3.000,3.000,3.000
,,2.000,2.000,,2.000,2.000,2.000,2.000
,,750,750,,750,750,750,750
,,60.000,60.000,,60.000,60.000,60.000,60.000
,,53.000,53.000,,53.000,53.000,53.000,53.000
