Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"989.357,73",730.000,700.000,700.000,,,700.000,700.000,700.000
02,,"248.112,36",45.000,48.700,48.700,,,48.700,48.700,48.700
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"1.237.470,09",775.000,748.700,748.700,,,748.700,748.700,748.700
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"2.282.059,76",8.258.420,13.406.000,16.782.000,27.570.000,0,12.344.880,3.384.260,100.000
09,,"3.454.291,04",9.423.090,7.779.500,2.291.500,7.504.000,0,2.302.500,7.272.500,6.162.500
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",2.500,2.500,2.500,0,0,2.500,2.500,2.500
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"5.736.350,80",17.684.010,21.188.000,19.076.000,35.074.000,0,14.649.880,10.659.260,6.265.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"4.498.880,71-",16.909.010-,20.439.300-,18.327.300-,,,13.901.180-,9.910.560-,5.516.300-
