Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,0,0,,,0,0,0
02,,"45.469,79",10.000,14.000,14.000,,,14.000,14.000,14.000
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"45.469,79",10.000,14.000,14.000,,,14.000,14.000,14.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",300.000,473.000,200.000,0,0,0,0,0
09,,"703.488,51",4.653.804,1.131.000,221.000,900.000,1.220.000,1.341.000,2.221.000,2.191.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"703.488,51",4.953.804,1.604.000,421.000,900.000,1.220.000,1.341.000,2.221.000,2.191.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"658.018,72-",4.943.804-,1.590.000-,407.000-,,,1.327.000-,2.207.000,- 2.177.000-
