Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,0,0,,,0,0,0
02,,"12.515,00",3.000,4.000,4.000,,,4.000,4.000,4.000
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"12.515,00",3.000,4.000,4.000,,,4.000,4.000,4.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,0,0,0,0,0,0,0
09,,"11.940,00",20.000,25.000,22.000,0,0,23.000,24.000,25.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"11.940,00",20.000,25.000,22.000,0,0,23.000,24.000,25.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"575,00",17.000-,21.000-,18.000-,,,19.000-,20.000-,21.000-
