Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"9.019.725,15",6.019.280,7.364.450,5.137.570,,,5.200.000,4.775.000,3.330.000
02,,"880,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"9.020.605,15",6.019.280,7.364.450,5.137.570,,,5.200.000,4.775.000,3.330.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"81.386.676,51",226.006.018,131.577.810,119.629.010,68.029.000,40.895.000,83.904.360,35.076.340,12.034.000
09,,"4.786.043,70",10.175.448,7.862.610,9.354.840,1.400.000,650.000,11.797.120,7.203.400,5.935.900
10,,"0,00",0,0,0,0,0,0,0,0
11,,"1.000.000,00",200.000,0,0,0,0,0,0,0
12,,"10.208,34",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"87.182.928,55",236.381.465,139.440.420,128.983.850,69.429.000,41.545.000,95.701.480,42.279.740,17.969.900
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"78.162.323,40-",230.362.185-,132.075.970-,123.846.280-,,,90.501.480-,37.504.740,- 14.639.900-
