,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-247,34","-251,84","-253,75",,"-255,27","-257,34","-260,23","-264,32"
,"6,0","4,5","4,4",,"4,5","4,5","4,4","4,0"
Leistungsdaten -AnzahlderSchulenundEinrichtungen -Netto-GrundflächeSchulgebäudeinqm(einschließlichTurnhallen usw.) -AnzahlderSchülerundSchülerinnen(ohneGrundschulwerkstatt) -AnzahlderauswärtigenSchüler/innenindenstädtischenSchulen (ohneGrundschulen) -FinanzFAIRteilung:AnzahlderSchulabgänger/innenohneAbschluss insgesamt -FinanzFAIRteilung:(davon)AnteilderSchulabgängerinnenohne Abschluss(in%) -FinanzFAIRteilung:(davon)AnteilderSchulabgängerohneAbschluss (in%),81,84,85,,85,85,85,85
,501.890,516.610,539.500,,542.300,542.300,542.300,542.300
,43.593,44.087,45.119,,45.364,45.321,45.321,45.321
,11.083,11.797,12.073,,12.139,12.127,12.127,12.127
,98,65,65,,65,65,65,65
,"41,84","46,60","46,60",,"46,60","46,60","46,60","46,60"
,"58,16","53,40","53,40",,"53,40","53,40","53,40","53,40"
