Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"9.019.725,15",6.019.280,7.364.450,5.137.570,,,5.200.000,4.775.000,3.330.000
02,,"880,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"9.020.605,15",6.019.280,7.364.450,5.137.570,,,5.200.000,4.775.000,3.330.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"81.386.676,51",226.006.018,131.577.810,119.629.010,68.029.000,40.895.000,83.904.360,35.076.340,12.034.000
09,,"4.786.043,70",10.172.548,7.859.710,9.351.940,1.400.000,650.000,11.794.220,7.200.500,5.933.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"1.000.000,00",200.000,0,0,0,0,0,0,0
12,,"10.208,34",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"87.182.928,55",236.378.565,139.437.520,128.980.950,69.429.000,41.545.000,95.698.580,42.276.840,17.967.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"78.162.323,40-",230.359.285-,132.073.070-,123.843.380-,,,90.498.580-,37.501.840-,14.637.000-
