,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum2.Ziel:Teilergebnis(Zeile29)jeSchüler/ineinschließlich Fahrtkosten(inEuro) -Zum2.Ziel:Teilergebnis(Zeile29)jeSchüler/inohneFahrtkosten(in Euro) -FinanzFAIRteilungZum3.Ziel:AnteilMädchenanMitsprache-Kursen (in%) -FinanzFAIRteilungZum4.Ziel:AnteilMädchenanRatsuchendender Bildungsberatung(in%) -FinanzFAIRteilungZum5.Ziel:AnteilderMädchenbeiden BerufsfelderkundungenimRahmenvonKAoA(in%) -FinanzFAIRteilungZum5.Ziel:AnteilderjungenFraueninden kommunalenProjekten(Projektförderung)(in%) -FinanzFAIRteilungZum5.Ziel:AnteilderTeilnehmerinneninder WerkstattschuleMünster(in%) -Zum6.Ziel:ReaktionszeitvondererstenAnmeldungbiszurersten Aktivität(inTagen),"-136,51","-290,00","-290,00",,"-290,00","-290,00","-290,00","-290,00"
,"-335,46","-110,00","-110,00",,"-110,00","-110,00","-110,00","-110,00"
,"38,0","50,0","50,0",,"50,0","50,0","50,0","50,0"
,"42,2","41,0","41,0",,"41,0","41,0","41,0","41,0"
,"37,8","50,0","50,0",,"50,0","50,0","50,0","50,0"
,"64,3","50,0","50,0",,"50,0","50,0","50,0","50,0"
,"50,0","50,0","50,0",,"50,0","50,0","50,0","50,0"
,4,5,5,,5,5,5,5
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-47,89","-47,63","-45,83",,"-46,88","-47,12","-48,15","-48,97"
,"1,8","3,6","6,3",,"4,7","3,1","2,2","2,1"
"Leistungsdaten -AnzahlderSchulenundEinrichtungen -AnzahlderSchülerundSchülerinnen(ohneGrundschulwerkstatt) -AnzahlderBeratungeninderAufnahme-,Beratungs-und Clearingstelle/Bildungsberatung -TeilnehmerzahlderMitSprache-Kurse",81,85,85,,85,85,85,85
,43.593,44.383,45.676,,45.364,45.321,45.321,45.321
,543,700,700,,700,700,700,700
,601,800,800,,800,800,800,800
