Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"29.021,06",3.868.500,4.236.470,6.293.440,,,54.220,19.600,20.000
02,,"100,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"29.121,06",3.868.500,4.236.470,6.293.440,,,54.220,19.600,20.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"458.226,00",2.320.000,7.908.000,3.740.660,3.700.000,1.000.000,1.005.000,0,0
09,,"806.948,20",1.394.140,1.689.400,486.820,0,0,259.020,226.490,229.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"75.000,00",4.813.000,4.027.850,2.407.500,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"1.340.174,20",8.527.140,13.625.250,6.634.980,3.700.000,1.000.000,1.264.020,226.490,229.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"1.311.053,14-",4.658.640-,9.388.780-,341.540-,,,1.209.800-,206.890-,209.000-
