,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
"Zielkennzahlen -Zum1.Ziel:OrdentlicheAufwendungendieserProduktgruppe(ohne Personalaufwendungen)(Euro) -Zum1.Ziel:AnteilandenordentlichenAufwendungen(ohne Personalaufw.)fürdieKultursparten""BildendeKunst""(Euro) -Zum1.Ziel:AnteilandenordentlichenAufwendungen(ohne Personalaufw.)fürdieKultursparten""Literatur""(Euro) -Zum1.Ziel:AnteilandenordentlichenAufwendungenfürdie Kultursparten(ohnePersonalaufw.)""Musik""(Euro) -Zum1.Ziel:Anteilandenord.Aufw.fürdieKultursparten(ohne Personalaufw.)""DarstellendeKunst""(Euro) -Zum1.Ziel:AnteilandenordentlichenAufwendungen(ohne Personalaufw.)fürdieKultursparten""Film/Medien""(Euro) -Zum1.Ziel:Anteilandenord.Aufw.(ohnePersonalaufw.)fürdie Kultursparten""Heimatpflege/Stadtteilkultur""(Euro) -Zum1.Ziel:AnteilandenordentlichenAufwendungen(ohne Personalaufw.)fürdieKultursparten""Soziokultur!""(Euro) -Zum1.Ziel:AnteilandenordentlichenAufwendungenfürdie Kultursparten""Spartenübergreifendes,etc.""(Euro) -Zum2.Ziel:AnzahlderJurys/Gremien(Kulturförderung) -Zum2.Ziel:Geschlechterverteilung(w)inJurys/Vergabegremien(in %) -Zum2.Ziel:Geschlechterverteilung(m)inJurys/Vergabegremien(in %) -Zum2.Ziel:AnzahlderJurys/Gremien(Kulturveranstaltungenu. -preise) -Zum2.Ziel:Geschlechterverteilung(w)inJurys/Vergabegremien(in %) -Zum2.Ziel:Geschlechterverteilung(m)inJurys/Vergabegremien(in %)",8.188.120,5.036.950,5.407.570,,5.717.320,4.051.550,3.949.250,3.969.310
,727.238,337.886,1.152.890,,1.439.420,292.490,269.970,268.960
,79.248,28.395,91.750,,27.820,72.470,22.300,74.620
,484.872,231.310,139.420,,296.630,116.960,186.910,96.540
,2.987.576,1.706.084,1.748.880,,1.699.270,1.288.690,1.222.840,1.260.880
,373.044,196.617,229.520,,232.850,182.370,187.140,192.950
,1.259.758,628.841,809.360,,786.840,606.840,596.060,595.960
,617.996,492.967,565.630,,576.130,458.790,429.030,440.020
,972.086,344.809,399.410,,400.810,283.790,287.550,292.770
,5,7,7,,7,7,7,7
,63,50,50,,50,50,50,50
,37,50,50,,50,50,50,50
,1,1,1,,1,1,1,1
,50,50,50,,50,50,50,50
,50,50,50,,50,50,50,50
