Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"599.381,50",260.420,249.660,280.590,186.320,186.320,185.950
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"170.443,55",200.990,140.800,171.800,191.070,191.070,191.070
06,+ KostenerstattungenundKostenumlagen,"152.006,70",111.460,136.130,99.430,41.140,29.810,26.200
07,+ SonstigeordentlicheErträge,"2.518,50",31.800,0,0,1.800,1.800,1.800
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"924.350,25",604.670,526.590,551.820,420.330,409.000,405.020
11,- Personalaufwendungen,"1.517.517,75",1.381.220,1.534.570,1.561.770,1.590.470,1.626.020,1.664.160
12,- Versorgungsaufwendungen,"76.100,08",92.160,0,0,0,0,0
13,- AufwendungenfürSach-undDienstleistungen,"209.852,57",101.570,167.720,172.370,73.970,73.970,73.970
14,- BilanzielleAbschreibungen,"42.527,71",39.690,38.030,37.240,35.590,33.890,33.050
15,- Transferaufwendungen,"3.913.676,05",4.196.580,4.576.300,4.804.490,3.302.400,3.201.800,3.222.700
16,- SonstigeordentlicheAufwendungen,"903.725,06",749.040,625.520,703.220,639.590,639.590,639.590
17,= OrdentlicheAufwendungen,"6.663.399,22",6.560.260,6.942.140,7.279.090,5.642.020,5.575.270,5.633.470
18,= OrdentlichesErgebnis(=Zeilen10und17),"5.739.048,97-",5.955.590-,6.415.550-,6.727.270-,5.221.690-,5.166.270-,5.228.450-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"5.739.048,97-",5.955.590-,6.415.550-,6.727.270-,5.221.690-,5.166.270-,5.228.450-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"5.739.048,97-",5.955.590-,6.415.550-,6.727.270-,5.221.690-,5.166.270-,5.228.450-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"1.856.540,00",1.856.540,1.763.710,1.763.710,1.763.710,1.763.710,1.763.710
29,"= Ergebnis(=Zeilen26,27,28)","7.595.588,97-",7.812.130-,8.179.260-,8.490.980-,6.985.400-,6.929.980-,6.992.160-
