Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,1.000.000,4.334.000,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"0,00",0,1.000.000,4.334.000,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"458.226,00",2.320.000,7.788.000,3.725.660,3.700.000,1.000.000,1.000.000,0,0
09,,"2.099,16",6.650,200.150,59.650,0,0,6.650,6.650,6.650
10,,"0,00",0,0,0,0,0,0,0,0
11,,"75.000,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"535.325,16",2.326.650,7.988.150,3.785.310,3.700.000,1.000.000,1.006.650,6.650,6.650
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"535.325,16-",2.326.650-,6.988.150-,548.690,,,1.006.650-,6.650-,6.650-
