,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum1.Ziel:UnterrichtsvolumeninJahreswochenstunden -Zum2.Ziel:AnteildesZuschussesfürKinderu.Jugendlicheam Teilergebnis(in%) -Zum3.Ziel:GebührenhöhefürMusikalischeFrüherziehung(inEuro bei60Min.) -Zum3.Ziel:AbweichungvomVdM-DurchschnittNRW(in%) -Zum3.Ziel:Gebührenhöhefür3er-Gruppe(UStd.45Min.)(inEuro) -Zum3.Ziel:AbweichungvomVdM-DurchschnittNRW(in%) -Zum3.Ziel:GebührenhöhefürEinzelunterricht(UStd.45Min.)(in Euro) -Zum3.Ziel:AbweichungvomVdM-DurchschnittNRW(in%),"1.795,59","1.700,00","1.700,00",,"1.700,00","1.700,00","1.700,00","1.700,00"
,"88,19","90,00","90,00",,"90,00","90,00","90,00","90,00"
,"288,00","302,40","318,00",,"325,00","331,50","338,20","345,00"
,"8,68","7,83","-2,75",,"-0,61","1,38","3,43","5,50"
,"504,00","537,60","576,00",,"588,00","599,80","611,80","624,10"
,"22,22","30,47","24,95",,"27,55","30,11","32,71","35,38"
,"1.188,00","1.290,00","1.381,20",,"1.410,00","1.438,20","1.447,00","1.496,40"
,"24,92","36,03","27,89",,"30,56","33,17","33,98","38,56"
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-16,57","-14,94","-15,99",,"-16,36","-16,31","-16,73","-17,09"
,"31,7","34,4","35,4",,"34,4","34,9","34,5","34,4"
Leistungsdaten -AnzahlderMusikschüler/-innenanderWestf.SchulefürMusik -FinanzFAIRteilung:AnzahlSchülermännlich -FinanzFAIRteilung:AnzahlSchülerweiblich -FinanzFAIRteilung:AnzahlSchülerohneGeschlecht,8.245,8.100,8.200,,8.200,8.200,8.200,8.200
,2.763,2.800,2.800,,2.800,2.800,2.800,2.800
,4.507,4.300,4.400,,4.400,4.400,4.400,4.400
,975,1.000,1.000,,1.000,1.000,1.000,1.000
