Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"18.179,30",18.100,18.470,18.840,,,19.220,19.600,20.000
02,,"100,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"18.279,30",18.100,18.470,18.840,,,19.220,19.600,20.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,0,0,0,0,0,0,0
09,,"82.543,88",226.532,246.740,239.660,0,0,116.860,119.330,121.840
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"82.543,88",226.532,246.740,239.660,0,0,116.860,119.330,121.840
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"64.264,58-",208.432-,228.270-,220.820-,,,97.640-,99.730-,101.840-
