Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",3.850.400,3.208.000,1.925.600,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"0,00",3.850.400,3.208.000,1.925.600,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,100.000,15.000,0,0,5.000,0,0
09,,"25.537,03",151.732,291.750,43.750,0,0,11.750,11.750,11.750
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",4.813.000,4.027.850,2.407.500,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"25.537,03",4.964.732,4.419.600,2.466.250,0,0,16.750,11.750,11.750
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"25.537,03-",1.114.332-,1.211.600-,540.650-,,,16.750-,11.750-,11.750-
