Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"7.634,33",0,0,0,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"7.634,33",0,0,0,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",0,0,0,0,0,0,0,0
09,,"637.437,64",971.191,908.900,96.900,0,0,56.900,56.900,56.900
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"637.437,64",971.191,908.900,96.900,0,0,56.900,56.900,56.900
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"629.803,31-",971.191-,908.900-,96.900-,,,56.900-,56.900-,56.900-
