Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,0,0,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"0,00",0,0,0,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"121.440,18",6.071.843,800.860,2.421.430,0,0,1.084.240,351.140,358.180
09,,"146.940,03",349.550,185.950,430.150,0,0,193.820,197.620,201.480
10,,"0,00",0,0,0,0,0,0,0,0
11,,"30.000,00",20.000,20.000,20.000,0,0,20.000,20.000,20.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"298.380,21",6.441.393,1.006.810,2.871.580,0,0,1.298.060,568.760,579.660
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"298.380,21-",6.441.393-,1.006.810-,2.871.580-,,,1.298.060-,568.760-,579.660-
