Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"0,00",0,0,0,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"0,00",0,0,0,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"0,00",1.222.352,165.430,168.740,0,0,172.120,175.570,179.090
09,,"9.798,37",81.220,82.860,84.520,0,0,86.220,87.960,89.720
10,,"0,00",0,0,0,0,0,0,0,0
11,,"30.000,00",20.000,20.000,20.000,0,0,20.000,20.000,20.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"39.798,37",1.323.572,268.290,273.260,0,0,278.340,283.530,288.810
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"39.798,37-",1.323.572-,268.290-,273.260-,,,278.340-,283.530-,288.810-
