Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"0,00",0,0,0,0,0,0
03,+ SonstigeTransfererträge,"0,00",500,500,500,500,500,500
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"0,00",0,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"1.137,30",2.500,2.500,2.500,2.500,2.500,2.500
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"1.137,30",3.000,3.000,3.000,3.000,3.000,3.000
11,- Personalaufwendungen,"1.897.851,09",1.295.810,2.360.510,2.397.200,2.325.290,2.269.500,2.326.990
12,- Versorgungsaufwendungen,"375.317,69",260.130,295.020,258.100,263.270,269.140,275.140
13,- AufwendungenfürSach-undDienstleistungen,"135.668,26",2.600,218.090,18.090,18.090,18.090,18.090
14,- BilanzielleAbschreibungen,"3.594,78",3.510,3.450,3.450,3.400,3.360,3.360
15,- Transferaufwendungen,"0,00",500,500,500,500,500,500
16,- SonstigeordentlicheAufwendungen,"25.614,05",34.040,44.390,44.410,44.430,44.430,44.430
17,= OrdentlicheAufwendungen,"2.438.045,87",1.596.590,2.921.960,2.721.750,2.654.980,2.605.020,2.668.510
18,= OrdentlichesErgebnis(=Zeilen10und17),"2.436.908,57-",1.593.590-,2.918.960-,2.718.750-,2.651.980-,2.602.020-,2.665.510-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"2.436.908,57-",1.593.590-,2.918.960-,2.718.750-,2.651.980-,2.602.020-,2.665.510-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"2.436.908,57-",1.593.590-,2.918.960-,2.718.750-,2.651.980-,2.602.020-,2.665.510-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"88.080,00",88.080,83.680,83.680,83.680,83.680,83.680
29,"= Ergebnis(=Zeilen26,27,28)","2.524.988,57-",1.681.670-,3.002.640-,2.802.430-,2.735.660-,2.685.700-,2.749.190-
