Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"129.173.134,25",135.461.190,140.297.670,141.646.930,142.561.840,141.211.660,140.753.250
03,+ SonstigeTransfererträge,"10.740.347,39",10.001.100,10.001.100,10.015.700,10.015.700,10.015.700,10.015.700
04,+ Öffentlich-rechtlicheLeistungsentgelte,"18.713.529,11",18.070.940,9.975.480,10.575.080,11.653.080,11.653.080,11.653.080
05,+ PrivatrechtlicheLeistungsentgelte,"2.178.500,09",1.892.020,1.892.020,1.892.020,1.892.020,1.892.020,1.892.020
06,+ KostenerstattungenundKostenumlagen,"20.287.162,70",18.878.840,19.125.830,20.456.110,20.434.430,20.434.430,20.434.430
07,+ SonstigeordentlicheErträge,"1.861.062,15",3.081.650,3.081.650,3.081.650,3.081.650,3.081.650,3.081.650
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"182.953.735,69",187.385.740,184.373.750,187.667.490,189.638.720,188.288.540,187.830.130
11,- Personalaufwendungen,"71.938.922,55",66.433.430,70.577.980,69.297.870,70.367.400,71.921.470,73.642.780
12,- Versorgungsaufwendungen,"2.644.615,46",1.891.580,1.982.980,1.734.880,1.769.570,1.809.030,1.849.370
13,- AufwendungenfürSach-undDienstleistungen,"7.135.825,61",4.833.500,4.689.190,4.919.550,4.919.550,4.919.550,4.919.550
14,- BilanzielleAbschreibungen,"291.647,17",258.800,259.570,230.610,204.800,175.570,152.830
15,- Transferaufwendungen,"288.354.558,79",300.510.930,316.397.820,319.288.650,338.496.280,336.124.960,337.300.350
16,- SonstigeordentlicheAufwendungen,"6.247.966,20",4.813.040,4.870.370,4.889.790,4.990.480,4.690.480,4.690.480
17,= OrdentlicheAufwendungen,"376.613.535,78",378.741.280,398.777.910,400.361.350,420.748.080,419.641.060,422.555.360
18,= OrdentlichesErgebnis(=Zeilen10und17),"193.659.800,09-",191.355.540-,214.404.160-,212.693.860-,231.109.360-,231.352.520-,234.725.230-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"193.659.800,09-",191.355.540-,214.404.160-,212.693.860-,231.109.360-,231.352.520-,234.725.230-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"193.659.800,09-",191.355.540-,214.404.160-,212.693.860-,231.109.360-,231.352.520-,234.725.230-
27,+ ErträgeausinternenLeistungsbeziehungen,"10.857.491,32",10.400.000,11.500.000,11.800.000,12.100.000,12.400.000,12.700.000
28,- AufwendungenausinternenLeistungsbeziehungen,"6.322.650,00",6.322.650,6.006.520,6.006.520,6.006.520,6.006.520,6.006.520
29,"= Ergebnis(=Zeilen26,27,28)","189.124.958,77-",187.278.190-,208.910.680-,206.900.380-,225.015.880-,224.959.040-,228.031.750-
