Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"2.656.497,82",1.355.600,0,0,,,0,0,0
02,,"6.550,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"2.663.047,82",1.355.600,0,0,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"16.443.048,26",35.292.320,12.347.950,5.712.500,8.152.000,0,2.178.500,434.500,324.500
09,,"266.185,52",839.631,600.740,720.740,0,0,600.740,600.740,600.740
10,,"0,00",0,0,0,0,0,0,0,0
11,,"1.920.471,16",2.246.651,1.500.000,1.500.000,6.000.000,0,1.500.000,1.500.000,1.500.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"18.629.704,94",38.378.602,14.448.690,7.933.240,14.152.000,0,4.279.240,2.535.240,2.425.240
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"15.966.657,12-",37.023.002-,14.448.690-,7.933.240-,,,4.279.240-,2.535.240,- 2.425.240-
