,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Leistungsdaten -AnzahlallerimKita-NavigatorgemeldetenAlleinerziehenden [FinanzFAIRteilung] -AnzahlallerimKita-Navigatorgemeldetenweiblichen Alleinerziehenden[FinanzFAIRteilung] -AnzahlallerimKita-Navigatorgemeldetenmännlichen Alleinerziehenden[FinanzFAIRteilung] -AnzahlallerimKita-NavigatorgemeldetenAlleinerziehendenmit Kindertagesbetreuungsplatz[FinanzFAIRteilung] -AnzahlallerimKita-Navigatorgemeldetenweibl.Alleinerziehendenmit Kindertagesbetreuungsplatz[FinanzFAIRteilung] -AnzahlallerimKita-Navigatorgemeldetenmännl.Alleinerziehenden mitKindertagesbetreuungsplatz[FinanzFAIRteilung] -AnzahlderKindertageseinrichtungen -davonEinrichtungenkatholischerTräger -davonEinrichtungenevangelischerTräger -davonEinrichtungeninTrägerschaftvonElterninitiativen -davonEinrichtungeninstädtischerTrägerschaft -davonEinrichtungensonstigerTräger -AnzahlderGruppen -davonGruppeninEinrichtungenkatholischerTräger -davonGruppeninEinrichtungenevangelischerTräger -davonGruppeninEinrichtungeninTrägerschaftvonElterninitiativen -davonGruppeninEinrichtungeninstädtischerTrägerschaft -davonGruppeninEinrichtungensonstigerTräger -KinderinKindertagespflegeinsgesamt -davonKindervon0-3Jahren -davonKindervon3-6Jahren -davonKindervon6-10Jahren,538,580,580,,580,580,580,580
,505,550,550,,550,550,550,550
,33,30,30,,30,30,30,30
,316,377,377,,377,377,377,377
,304,358,358,,358,358,358,358
,12,19,19,,19,19,19,19
,208,220,214,,217,218,218,231
,47,55,47,,47,47,47,55
,15,15,15,,15,15,15,15
,52,52,52,,52,52,52,52
,29,31,28,,30,30,30,31
,65,67,72,,73,74,74,78
,693,754,723,,737,742,742,801
,155,165,157,,157,157,157,165
,57,56,57,,57,57,57,56
,84,84,84,,84,84,84,84
,126,137,117,,126,126,126,137
,271,312,308,,313,318,318,359
,1.102,1.300,1.002,,1.002,1.002,1.002,1.300
,1.093,1.290,939,,987,987,987,1.290
,7,5,57,,10,10,10,5
,2,5,6,,5,5,5,5
