Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"114.194.283,20",112.881.570,115.807.470,117.137.810,118.041.820,116.691.640,116.233.230
03,+ SonstigeTransfererträge,"3.705.059,94",3.081.200,3.081.200,3.081.200,3.081.200,3.081.200,3.081.200
04,+ Öffentlich-rechtlicheLeistungsentgelte,"12.460.734,40",11.127.080,5.955.220,6.562.420,7.648.020,7.648.020,7.648.020
05,+ PrivatrechtlicheLeistungsentgelte,"1.158.980,65",900.000,900.000,900.000,900.000,900.000,900.000
06,+ KostenerstattungenundKostenumlagen,"1.273.498,32",541.890,524.500,514.910,500.000,500.000,500.000
07,+ SonstigeordentlicheErträge,"1.423.175,95",2.601.650,2.601.650,2.601.650,2.601.650,2.601.650,2.601.650
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"134.215.732,46",131.133.390,128.870.040,130.797.990,132.772.690,131.422.510,130.964.100
11,- Personalaufwendungen,"35.566.663,95",37.762.710,39.371.540,39.192.600,39.679.220,40.476.050,41.341.260
12,- Versorgungsaufwendungen,"924.894,69",632.850,615.900,538.840,549.620,561.880,574.410
13,- AufwendungenfürSach-undDienstleistungen,"1.020.092,10",223.260,115.600,39.300,39.300,39.300,39.300
14,- BilanzielleAbschreibungen,"183.580,79",165.030,170.320,154.120,139.370,118.980,106.500
15,- Transferaufwendungen,"156.517.701,61",168.082.740,175.309.300,176.205.440,179.437.540,177.668.140,177.091.740
16,- SonstigeordentlicheAufwendungen,"3.460.920,80",2.349.520,2.424.580,2.425.140,2.525.520,2.225.520,2.225.520
17,= OrdentlicheAufwendungen,"197.673.853,94",209.216.110,218.007.240,218.555.440,222.370.570,221.089.870,221.378.730
18,= OrdentlichesErgebnis(=Zeilen10und17),"63.458.121,48-",78.082.720-,89.137.200-,87.757.450-,89.597.880-,89.667.360-,90.414.630-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"63.458.121,48-",78.082.720-,89.137.200-,87.757.450-,89.597.880-,89.667.360-,90.414.630-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"63.458.121,48-",78.082.720-,89.137.200-,87.757.450-,89.597.880-,89.667.360-,90.414.630-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"4.109.860,00",4.109.860,3.904.370,3.904.370,3.904.370,3.904.370,3.904.370
29,"= Ergebnis(=Zeilen26,27,28)","67.567.981,48-",82.192.580-,93.041.570-,91.661.820-,93.502.250-,93.571.730-,94.319.000-
