Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"2.656.497,82",1.355.600,0,0,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"2.656.497,82",1.355.600,0,0,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"16.434.480,26",35.152.320,12.347.950,5.712.500,8.152.000,0,2.178.500,434.500,324.500
09,,"177.071,02",660.433,489.800,609.800,0,0,489.800,489.800,489.800
10,,"0,00",0,0,0,0,0,0,0,0
11,,"1.920.471,16",2.246.651,1.500.000,1.500.000,6.000.000,0,1.500.000,1.500.000,1.500.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"18.532.022,44",38.059.404,14.337.750,7.822.300,14.152.000,0,4.168.300,2.424.300,2.314.300
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"15.875.524,62-",36.703.804-,14.337.750-,7.822.300-,,,4.168.300-,2.424.300,- 2.314.300-
