,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Leistungsdaten -AnzahlOGSinfreierTrägerschaft -EinrichtungenderoffenenKinder-undJugendarbeitinsgesamt -davonkatholischeEinrichtungen -davonevangelischeEinrichtungen -davonsonstigeEinrichtungen -davonstädtischeEinrichtungenderKinder-undJugendarbeit -JugendverbändeinMünster -davonkatholischeJugendverbände -davonevangelischeJugendverbände -davonsonstigeJugendverbände -AnzahlderGrund-undFörderschulenmitOffenemGanztag --davonAnzahlderGrundschulenmitOffenemGanztag --davonAnzahlderFörderschulenmitOffenemGanztag,33,43,47,,47,48,48,48
,39,39,39,,39,40,40,41
,10,10,10,,10,10,10,10
,5,6,5,,5,5,5,6
,16,15,17,,17,17,17,17
,8,8,7,,7,8,8,8
,29,30,30,,30,30,30,30
,8,9,9,,9,9,9,9
,4,4,4,,4,4,4,4
,17,17,17,,17,17,17,17
,46,47,47,,47,48,48,48
,43,44,44,,44,45,45,45
,3,3,3,,3,3,3,3
