,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Leistungsdaten -AnzahlderfreienTrägerderWohnhilfen -AnzahlderTrägerderTeilhabeleistungen -AnzahlderTrägerdersozialenGruppenarbeit -AnzahlderTrägerderaufsuchendenJugendsozialarbeit(AJSA) -AnzahlderweiterenTrägerderJugendsozialarbeit -AnzahlderTrägerderschulbezogenenJugendhilfeleistungen -jährlicheAngebotsstundenbeimöffentlichenTrägerder schulbezogenenJugendhilfe -jährlicheAngebotsstundenbeidenfreienTrägerderschulbezogenen Jugendhilfe -AnzahlderTrägerderDrogenhilfe -AnzahlderstationärenPlätzefürLeistungennach§13IIISGBVIIIbei denfreienTrägernderWohnhilfen,2,2,2,,2,2,2,2
,3,3,2,,2,2,2,3
,5,5,2,,2,2,2,5
,7,7,7,,7,7,7,7
,7,6,7,,7,7,7,6
,12,10,12,,12,12,12,10
,20.669,19.962,20.050,,20.050,20.050,20.050,19.962
,18.904,18.592,19.520,,19.520,19.520,19.520,18.592
,2,2,2,,2,2,2,2
,45,45,45,,45,45,45,45
