,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-300,92","-267,19","-284,40",,"-277,57","-330,57","-328,50","-332,75"
,"22,0","23,4","22,4",,"23,7","20,7","20,8","20,6"
"Leistungsdaten -GesamtzahlallerVormundschaften/Pflegschaften -AnzahlHzEpro10.000der0bis21-Jährigen -AnzahlHzE-Fälle(§§29bis35;27.2;41SGBVII),Angabenabsolut (nurweiblichePersonenalsHilfeempfangende) -AnzahlHzE-Fälle(§§29bis35;27.2;41SGBVII),Angabenabsolut (nurmännlichePersonenalsHilfeempfangende) -AnzahlHzE-Fälle(§§29bis35;27,2;41SGBVIII),Angabenabsolut -AnzahlehrenamtlichgeführterVormundschaften/Pflegschaften -AnzahlderHzE-Fälle(§§33,34SGBVIII)stationär(nurweibliche PersonenalsHilfeempfangende) -AnzahlderHzE-Fälle(§33,34SGBVIII)stationär(nurmännliche PersonenalsHilfeempfangende) -AnzahlderHzE-Fälle(§§33,34SGBVIII)stationär -AnzahlHzE-Fälle(§§29-32,27.2,41SGBVIII)ambulant -AnzahlFälleEingliederungshilfegem.§35aSGBVIII -AnzahlFälleEingliederungshilfegem.§35aSGBVIIIambulant -AnzahlFälleEingliederungshilfegem.§35aSGBVIIIstationär -AnzahlderHzE-Fälle(§§29bis32;27.2,41SGBVIII)ambulant(nur weiblichePersonenalsHilfeempfangende) -AnzahlderHzE-Fälle(§§29bis32;27.2,41SGBVIII)ambulant(nur männlichePersonenalsHilfeempfangende)",437,300,300,,300,430,430,300
,"339,0","300,0","300,0",,"300,0","330,0","330,0","300,0"
,941,1.010,1.010,,1.010,1.010,1.050,1.010
,1.148,1.010,1.010,,1.010,1.010,1.050,1.010
,2.089,2.020,2.020,,2.020,2.020,2.100,2.020
,65,20,20,,20,60,60,20
,452,380,380,,380,380,380,380
,522,570,570,,570,570,570,570
,974,950,950,,950,950,950,950
,1.115,1.010,1.010,,1.010,1.010,1.150,1.010
,942,810,810,,810,900,900,810
,886,740,740,,740,830,830,740
,56,70,70,,70,70,70,70
,489,404,404,,404,404,575,404
,626,606,606,,606,606,575,606
