Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"1.856.373,06",607.630,480.120,480.120,470.120,470.120,470.120
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"332.501,72",370.000,340.000,340.000,340.000,340.000,340.000
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"602.305,52",2.036.870,2.267.850,2.300.850,2.334.510,2.368.840,2.403.860
07,+ SonstigeordentlicheErträge,"36.086,86",2.000,2.000,2.000,2.000,2.000,2.000
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"2.827.267,16",3.016.500,3.089.970,3.122.970,3.146.630,3.180.960,3.215.980
11,- Personalaufwendungen,"7.768.904,79",8.792.020,8.894.170,9.079.580,9.368.260,9.534.490,9.752.670
12,- Versorgungsaufwendungen,"586.116,92",633.060,554.710,485.300,495.010,506.040,517.320
13,- AufwendungenfürSach-undDienstleistungen,"716.865,25",187.550,168.430,168.430,168.430,168.430,168.430
14,- BilanzielleAbschreibungen,"9.131,49",8.450,7.750,7.050,7.010,6.720,6.140
15,- Transferaufwendungen,"6.687.942,66",6.756.620,7.247.860,7.291.750,7.287.380,7.288.800,7.276.970
16,- SonstigeordentlicheAufwendungen,"766.506,06",903.370,560.330,736.250,710.290,526.110,526.090
17,= OrdentlicheAufwendungen,"16.535.467,17",17.281.070,17.433.250,17.768.360,18.036.380,18.030.590,18.247.620
18,= OrdentlichesErgebnis(=Zeilen10und17),"13.708.200,01-",14.264.570-,14.343.280-,14.645.390-,14.889.750-,14.849.630-,15.031.640-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"13.708.200,01-",14.264.570-,14.343.280-,14.645.390-,14.889.750-,14.849.630-,15.031.640-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"13.708.200,01-",14.264.570-,14.343.280-,14.645.390-,14.889.750-,14.849.630-,15.031.640-
27,+ ErträgeausinternenLeistungsbeziehungen,"325.596,78",255.520,400.000,408.000,416.160,424.480,432.970
28,- AufwendungenausinternenLeistungsbeziehungen,"446.610,00",446.610,424.280,424.280,424.280,424.280,424.280
29,"= Ergebnis(=Zeilen26,27,28)","13.829.213,23-",14.455.660-,14.367.560-,14.661.670-,14.897.870-,14.849.430-,15.022.950-
