Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"263.257,09",3.002.780,1.868.640,856.000,,,106.000,106.000,106.000
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"263.257,09",3.002.780,1.868.640,856.000,,,106.000,106.000,106.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"2.994.128,18",4.000,0,0,0,0,0,0,0
08,,"5.050.001,86",43.967.769,62.313.910,38.849.000,65.525.500,2.087.500,28.764.000,4.893.500,9.141.500
09,,"371.875,05",1.976.513,1.723.950,2.433.300,2.961.100,0,527.800,515.800,515.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"1.093.325,34",3.568.904,1.162.000,600.000,0,0,600.000,600.000,600.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"9.509.330,43",49.517.186,65.199.860,41.882.300,68.486.600,2.087.500,29.891.800,6.009.300,10.256.500
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"9.246.073,34-",46.514.406-,63.331.220-,41.026.300-,,,29.785.800-,5.903.300,- 10.150.500-
