Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"1.274.341,10",1.174.490,1.761.540,1.751.290,1.753.970,1.733.340,1.717.750
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"3.833,60",11.140,6.140,6.140,6.140,6.140,6.140
05,+ PrivatrechtlicheLeistungsentgelte,"783.583,64",835.260,965.260,984.750,914.750,914.750,914.750
06,+ KostenerstattungenundKostenumlagen,"6.720,00",6.720,6.720,6.720,6.720,6.720,6.720
07,+ SonstigeordentlicheErträge,"168.424,62",460,24.460,24.460,460,460,460
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"2.236.902,96",2.028.070,2.764.120,2.773.360,2.682.040,2.661.410,2.645.820
11,- Personalaufwendungen,"1.952.541,66",1.371.930,1.135.350,1.152.220,1.169.480,1.195.530,1.222.970
12,- Versorgungsaufwendungen,"314.562,19",165.160,189.920,166.160,169.480,173.260,177.130
13,- AufwendungenfürSach-undDienstleistungen,"467.707,88",477.580,287.780,287.780,287.780,287.780,287.780
14,- BilanzielleAbschreibungen,"2.393.787,94",1.996.140,1.997.550,1.943.560,1.935.300,1.888.410,1.844.790
15,- Transferaufwendungen,"5.004.478,31",4.776.620,4.657.570,4.655.680,4.309.560,4.284.470,4.283.510
16,- SonstigeordentlicheAufwendungen,"1.876.448,79",1.540.210,1.429.090,1.429.100,1.400.100,1.400.100,1.400.100
17,= OrdentlicheAufwendungen,"12.009.526,77",10.327.640,9.697.260,9.634.500,9.271.700,9.229.550,9.216.280
18,= OrdentlichesErgebnis(=Zeilen10und17),"9.772.623,81-",8.299.570-,6.933.140-,6.861.140-,6.589.660-,6.568.140-,6.570.460-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"9.772.623,81-",8.299.570-,6.933.140-,6.861.140-,6.589.660-,6.568.140-,6.570.460-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"9.772.623,81-",8.299.570-,6.933.140-,6.861.140-,6.589.660-,6.568.140-,6.570.460-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"9.020.070,00",9.020.070,8.569.070,8.569.070,8.569.070,8.569.070,8.569.070
29,"= Ergebnis(=Zeilen26,27,28)","18.792.693,81-",17.319.640-,15.502.210-,15.430.210-,15.158.730-,15.137.210-,15.139.530-
