Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"263.257,09",3.002.780,1.868.640,856.000,,,106.000,106.000,106.000
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"263.257,09",3.002.780,1.868.640,856.000,,,106.000,106.000,106.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"297.091,51",4.000,0,0,0,0,0,0,0
08,,"5.050.001,86",43.627.769,62.313.910,38.849.000,65.525.500,2.087.500,28.764.000,4.893.500,9.141.500
09,,"223.596,00",950.052,390.000,390.000,780.000,0,390.000,390.000,390.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"1.093.325,34",3.568.904,1.162.000,600.000,0,0,600.000,600.000,600.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"6.664.014,71",48.150.725,63.865.910,39.839.000,66.305.500,2.087.500,29.754.000,5.883.500,10.131.500
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"6.400.757,62-",45.147.945-,61.997.270-,38.983.000-,,,29.648.000-,5.777.500,- 10.025.500-
