Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"63.603,91",63.600,63.610,62.490,63.610,63.050,62.490
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
05,+ PrivatrechtlicheLeistungsentgelte,"1.306.961,36",2.083.950,2.289.500,2.291.150,3.116.580,3.116.580,3.116.580
06,+ KostenerstattungenundKostenumlagen,"13.748,39",6.400,0,0,0,0,0
07,+ SonstigeordentlicheErträge,"2.694,30",4.090,4.090,4.090,4.090,4.090,4.090
08,+ AktivierteEigenleistungen,"0,00",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"1.387.007,96",2.158.040,2.357.200,2.357.730,3.184.280,3.183.720,3.183.160
11,- Personalaufwendungen,"5.121.428,76",6.457.580,6.747.100,6.864.820,6.990.270,7.145.550,7.312.740
12,- Versorgungsaufwendungen,"22.400,31-",51.570,57.290,50.130,51.130,52.270,53.430
13,- AufwendungenfürSach-undDienstleistungen,"792.537,22",555.000,760.500,707.000,685.500,666.500,666.500
14,- BilanzielleAbschreibungen,"199.607,00",150.060,140.670,122.730,100.650,80.310,71.480
15,- Transferaufwendungen,"696.712,81",676.320,676.330,706.330,702.330,702.330,702.330
16,- SonstigeordentlicheAufwendungen,"262.201,42",508.140,756.430,674.530,655.590,637.590,637.590
17,= OrdentlicheAufwendungen,"7.050.086,90",8.398.670,9.138.320,9.125.540,9.185.470,9.284.550,9.444.070
18,= OrdentlichesErgebnis(=Zeilen10und17),"5.663.078,94-",6.240.630-,6.781.120-,6.767.810-,6.001.190-,6.100.830-,6.260.910-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"5.663.078,94-",6.240.630-,6.781.120-,6.767.810-,6.001.190-,6.100.830-,6.260.910-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"5.663.078,94-",6.240.630-,6.781.120-,6.767.810-,6.001.190-,6.100.830-,6.260.910-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"3.830.010,00",3.830.010,3.638.510,3.638.510,3.638.510,3.638.510,3.638.510
29,"= Ergebnis(=Zeilen26,27,28)","9.493.088,94-",10.070.640-,10.419.630-,10.406.320-,9.639.700-,9.739.340-,9.899.420-
