Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"2.089.923,00",42.190,0,0,,,0,0,0
02,,"50.050,00",1.020,1.020,1.020,,,1.020,1.020,1.020
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"2.139.973,00",43.210,1.020,1.020,,,1.020,1.020,1.020
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"1.101.729,03",2.373.690,0,0,0,0,0,0,0
09,,"278.247,15",562.400,241.070,251.070,0,0,236.070,236.070,236.070
10,,"0,00",0,0,0,0,0,0,0,0
11,,"2.937.037,12",600.000,0,0,0,0,0,0,0
12,,"0,00",1.125.000,1.330.000,1.260.000,0,0,1.215.000,1.240.000,1.100.000
13,= Summederinvestiven Auszahlungen,"4.317.013,30",4.661.090,1.571.070,1.511.070,0,0,1.451.070,1.476.070,1.336.070
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"2.177.040,30-",4.617.880-,1.570.050-,1.510.050-,,,1.450.050-,1.475.050,- 1.335.050-
