,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
"Zielkennzahlen -Zum1.Ziel:VerhältnisvoninBaugeb.planerischgesichert. Wohneinh.zudurchsch.jährl.inBaugeb.geb.Wohnungen(%) -Zum2.Ziel:BaureifeFlächenfürGewerbe-und Dienstleistungsstandorte(inha) -Zum3.Ziel:AnzahlderFachkonzepteinlfd.Bearbeitung -Zum3.Ziel:AnzahlderdavonfertiggestelltenFachkonzepte -Zum4.Ziel:BürgerumfragenproJahr -Zum4.Ziel:MindestanteilauswertbarerFragebögenzurErreichung derRepräsentativität(in%) -Zum5.Ziel:AnzahlSachstandsberichte""Demografie""proJahr -Zum6.Ziel:Abschlussgradd.eingeleitetenFNP-Änderungsverf., Standortuntersuch.,Rahmenplänenu.Handlungskonz.(in%) -Zum7.Ziel:ErstellungeinerBeschlussvorlagezurPriorisierungderzu beantragendenStädtebauförderungsmaßnahmen -Zum7.Ziel:AnteilfristgerechtgestellterAnträgeauf Städtebauförderungsmittel(in%) -Zum8.Ziel:MonitoringVollzugSozialeErhaltungssatzung -Zum8.Ziel:Gentrifizierungsmonitoring -Zum8.Ziel:EvaluationSatzung -Zum9.Ziel:AnzahlSachstandsberichte""SmartCity"" -Zum10.Ziel:StrategischesSpitzengesprächmit Wissenschaftsakteuren(LOI-Partner) -Zum11.Ziel:StrategischesSpitzengesprächmitWirtschaftsakteuren -Zum12.Ziel:Reflexionsgespräch -Zum13.Ziel:Vorstandssitzungen -Zum13.Ziel:Tagungen",363 18 2 1 33 100 1 100 1,400,400 50 2 1 1 33 100 1 100 1 1 1 1 4 1,,400 50 2 1 1 33 1 100 1 100 1 1 1 1 1 1 4 1,400 50 2 1 1 33 100 1 100 1 1 1 4 1,400,400 50 2 1 1 33 100 1 100 1 1 1 1 4 1
,,50,,,,,50,
,,2,,,,,2,
,,1,,,,,1,
,,1,,,,,1,
,,33,,,,,33,
,,1,,,,,1,
,,100,,,,,100,
,,1,,,,,1,
,,100,,,,,100,
,,1,,,,,1,
,,1,,,,,1,
,,1,,,,,1,
,,1,,,,,1,
,,1,,,,,4,
,,1,,,,,1,
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"-26,45","-28,46","-31,09",,"-29,00","-28,61","-29,11","-29,68"
,"22,0","3,7","15,7",,"17,3","15,9","15,6","15,3"
