Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"2.089.923,00",42.190,0,0,,,0,0,0
02,,"0,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"0,00",0,0,0,,,0,0,0
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"2.089.923,00",42.190,0,0,,,0,0,0
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"1.101.729,03",2.373.690,0,0,0,0,0,0,0
09,,"3.408,29",362.400,6.070,6.070,0,0,6.070,6.070,6.070
10,,"0,00",0,0,0,0,0,0,0,0
11,,"2.937.037,12",600.000,0,0,0,0,0,0,0
12,,"0,00",1.125.000,1.330.000,1.260.000,0,0,1.215.000,1.240.000,1.100.000
13,= Summederinvestiven Auszahlungen,"4.042.174,44",4.461.090,1.336.070,1.266.070,0,0,1.221.070,1.246.070,1.106.070
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"1.952.251,44-",4.418.900-,1.336.070-,1.266.070-,,,1.221.070-,1.246.070,- 1.106.070-
