Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"106.000,00",61.000,65.000,65.000,65.000,65.000,65.000
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"30.842,00",40.000,40.000,40.000,40.000,40.000,40.000
05,+ PrivatrechtlicheLeistungsentgelte,"0,00",0,0,0,0,0,0
06,+ KostenerstattungenundKostenumlagen,"467.626,75",303.000,309.000,309.000,309.000,309.000,168.960
07,+ SonstigeordentlicheErträge,"0,00",0,0,0,0,0,0
08,+ AktivierteEigenleistungen,"109.577,67",0,0,0,0,0,0
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"714.046,42",404.000,414.000,414.000,414.000,414.000,273.960
11,- Personalaufwendungen,"1.555.858,37",1.546.370,1.564.110,1.590.980,1.618.320,1.654.890,1.693.510
12,- Versorgungsaufwendungen,"96.362,07",66.400,74.080,64.800,66.100,67.570,69.080
13,- AufwendungenfürSach-undDienstleistungen,"45.240,54",16.570,33.270,33.270,33.270,33.270,33.270
14,- BilanzielleAbschreibungen,"2.779,58",2.780,2.780,2.730,2.130,2.130,1.960
15,- Transferaufwendungen,"104.865,00",100.000,100.000,100.000,100.000,100.000,100.000
16,- SonstigeordentlicheAufwendungen,"54.230,34",84.890,85.620,100.630,85.640,85.640,85.640
17,= OrdentlicheAufwendungen,"1.859.335,90",1.817.010,1.859.860,1.892.410,1.905.460,1.943.500,1.983.460
18,= OrdentlichesErgebnis(=Zeilen10und17),"1.145.289,48-",1.413.010-,1.445.860-,1.478.410-,1.491.460-,1.529.500-,1.709.500-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",0,0,0,0,0,0
21,= Finanzergebnis (=Zeilen19und20),"0,00",0,0,0,0,0,0
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"1.145.289,48-",1.413.010-,1.445.860-,1.478.410-,1.491.460-,1.529.500-,1.709.500-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"1.145.289,48-",1.413.010-,1.445.860-,1.478.410-,1.491.460-,1.529.500-,1.709.500-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"42.990,00",42.990,40.840,40.840,40.840,40.840,40.840
29,"= Ergebnis(=Zeilen26,27,28)","1.188.279,48-",1.456.000-,1.486.700-,1.519.250-,1.532.300-,1.570.340-,1.750.340-
