Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"6.278.935,70",7.500.000,6.000.000,0,,,0,0,0
02,,"10.000,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"879.805,01",1.800.000,1.950.000,2.250.000,,,2.250.000,2.500.000,2.850.000
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"7.168.740,71",9.300.000,7.950.000,2.250.000,,,2.250.000,2.500.000,2.850.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"37.947.430,24",55.482.193,43.580.000,45.670.000,40.250.000,30.800.000,25.550.000,20.370.000,16.250.000
09,,"836.677,38",615.723,600.000,300.000,0,0,300.000,300.000,300.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"807.148,17",14.030,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"39.591.255,79",56.111.946,44.180.000,45.970.000,40.250.000,30.800.000,25.850.000,20.670.000,16.550.000
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"32.422.515,08-",46.811.946-,36.230.000-,43.720.000-,,,23.600.000-,18.170.000-,13.700.000-
