,,,,,,,,
"Beschreibung DieProduktgruppebeinhaltetdieordnungsgemäße,sichere,umweltgerechteundwirtschaftlicheAbleitungundReinigungvonAbwasserinVerbindungmitderPlanung,demBauundderUnterhaltungderdafür notwendigenAnlagen(Kanäle,Druckrohrleitungen,Regenwasserbehandlungsanlagen,PumpwerkeundKläranlagen).DieAbwasserbeseitigungunterteiltsichindieAbwasserableitungund-reinigung.Eshandeltsich umeinegebührenrechnendeEinrichtung,diesichzu100%ausGebühren-undBeitragseinnahmenfinanziert.",,,,,,,,
BesonderheitenindenPlanjahren Keine,,,,,,,,
Ziele 1.DieAbwassergebührensollennichtüberproportionalsteigen.MaßstabhierfüristdieallgemeinePreissteigerung. 2.DiegesetzlichvorgeschriebenenGrenzwertezurordnungsgemäßenAbwasserbeseitigungwerdenummindestens60%unterschritten.,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Zielkennzahlen -Zum1.Ziel:Abwassergebührenfüreinen4-Personen-Haushalt(in Euro) -Zum1.Ziel:Niederschlagswassergebühr(inEuro) -Zum1.Ziel:Schmutzwassergebühr(inEuro) -Zum1.Ziel:SteigerungsratederAbwassergebührenggü.Vorjahr(in %) -Zum2.Ziel:Unterschreitungdergesetzlichvorgeschriebenen Grenzwerte(in%),"641,70","697,50","745,50",,"788,10","804,00","818,50","834,40"
,"0,89","0,95","0,95",,"0,97","1,00","1,05","1,08"
,"2,63","2,87","3,11",,"3,31","3,37","3,41","3,47"
,15,9,7,,6,2,2,2
,69,63,63,,63,63,63,63
Standardkennzahlen -Teilergebnis(Zeile29)proEinwohner/in(inEuro) -Aufwandsdeckungsgrad(in%),"103,01","121,38","127,15",,"133,34","135,18","136,09","136,60"
,"164,8","173,5","141,5",,"142,0","151,8","142,0","142,0"
Leistungsdaten -LängeKanalnetz(inkm) -AnzahlHausanschlüsse -GereinigteAbwassermenge(inMio.cbm),1.762,1.766,1.767,,1.769,1.771,1.773,1.775
,94.800,95.000,95.200,,95.400,95.600,95.800,96.000
,28,25,25,,25,25,25,25
