,,,,,,,,
,Ergebnis,Ansatz,,,,Planung,,
,2024,2025,2026,,2027,2028,2029,2030
Leistungsdaten -LängeöffentlicheVerkehrsstraßeninkl.Wirtschaftswege(inkm) -LängeöffentlicheRadwege(inkm) -LängeöffentlicheGehwege(inkm) -AnzahlBrücken -LängeLärmschutz-undStützwände(inm) -AnzahlöffentlicherüberdachterFahrradeinstellplätze -AnzahlLeuchtenderStraßenbeleuchtung -AnzahlAmpeln -AnzahlParkleitsystemschilder -AnzahlParkuhren -AnzahlParkscheinautomaten,1.222,1.222,1.224,,1.226,1.228,1.230,1.232
,313,313,314,,315,316,317,318
,1.245,1.245,1.246,,1.247,1.248,1.249,1.250
,266,264,268,,269,270,270,271
,11.577,12.096,11.837,,11.837,11.837,11.837,11.837
,1.118,2.138,2.138,,2.138,2.852,2.852,2.852
,29.337,29.600,29.800,,30.000,30.200,30.400,30.600
,290,294,292,,293,294,295,296
,173,173,173,,173,173,173,173
,70,70,60,,58,56,54,52
,128,135,128,,128,128,128,128
