Teilergebnisplan Ertrags-undAufwandsarten,,Ergebnis(€),Haushaltsansatz(€),,,Planung(€),,
,,2024,2025,2026,2027,2028,2029,2030
01,SteuernundähnlicheAbgaben,"0,00",0,0,0,0,0,0
02,+ ZuwendungenundallgemeineUmlagen,"33.773.544,86",28.615.500,32.765.500,32.743.000,32.743.000,32.743.000,32.743.000
03,+ SonstigeTransfererträge,"0,00",0,0,0,0,0,0
04,+ Öffentlich-rechtlicheLeistungsentgelte,"9.647.725,55",10.535.000,10.535.000,11.235.000,11.235.000,11.235.000,11.235.000
05,+ PrivatrechtlicheLeistungsentgelte,"21.708,02",15.000,15.000,15.000,15.000,15.000,15.000
06,+ KostenerstattungenundKostenumlagen,"200.523,05",309.020,302.160,302.160,302.160,302.160,302.160
07,+ SonstigeordentlicheErträge,"1.107.104,59",1.000.500,1.000.500,1.000.500,1.000.500,1.000.500,1.000.500
08,+ AktivierteEigenleistungen,"1.313.305,63",2.250.000,2.550.000,2.550.000,2.550.000,2.550.000,2.550.000
09,+/- Bestandsveränderungen,"0,00",0,0,0,0,0,0
10,= OrdentlicheErträge,"46.063.911,70",42.725.020,47.168.160,47.845.660,47.845.660,47.845.660,47.845.660
11,- Personalaufwendungen,"14.240.630,45",15.122.200,15.391.340,15.648.030,15.919.770,16.273.420,16.652.390
12,- Versorgungsaufwendungen,"998.539,68",726.320,840.220,735.090,749.800,766.520,783.610
13,- AufwendungenfürSach-undDienstleistungen,"20.886.452,24",21.129.130,19.417.300,19.331.300,19.461.300,19.871.300,19.871.300
14,- BilanzielleAbschreibungen,"28.023.769,19",30.080.000,30.130.000,30.170.000,30.160.000,30.160.000,30.160.000
15,- Transferaufwendungen,"22.478.588,29",12.560.000,16.480.000,16.480.000,16.480.000,16.480.000,16.480.000
16,- SonstigeordentlicheAufwendungen,"736.482,06",817.600,807.870,725.570,725.710,725.710,725.710
17,= OrdentlicheAufwendungen,"87.364.461,91",80.435.250,83.066.730,83.089.990,83.496.580,84.276.950,84.673.010
18,= OrdentlichesErgebnis(=Zeilen10und17),"41.300.550,21-",37.710.230-,35.898.570-,35.244.330-,35.650.920-,36.431.290-,36.827.350-
19,+ Finanzerträge,"0,00",0,0,0,0,0,0
20,- ZinsenundsonstigeFinanzaufwendungen,"0,00",5.000,5.000,5.000,5.000,5.000,5.000
21,= Finanzergebnis (=Zeilen19und20),"0,00",5.000-,5.000-,5.000-,5.000-,5.000-,5.000-
22,= ErgebnisderlaufendenVerwaltungstätigkeit (=Zeilen18und21),"41.300.550,21-",37.715.230-,35.903.570-,35.249.330-,35.655.920-,36.436.290-,36.832.350-
23,+ AußerordentlicheErträge,"0,00",0,0,0,0,0,0
24,- AußerordentlicheAufwendungen,"0,00",0,0,0,0,0,0
25,= AußerordentlichesErgebnis(=Zeilen23und24),"0,00",0,0,0,0,0,0
26,= ErgebnisvorBerücksichtigungderinternen Leistungsbeziehungen(=Zeilen22und25),"41.300.550,21-",37.715.230-,35.903.570-,35.249.330-,35.655.920-,36.436.290-,36.832.350-
27,+ ErträgeausinternenLeistungsbeziehungen,"0,00",0,0,0,0,0,0
28,- AufwendungenausinternenLeistungsbeziehungen,"9.904.260,00",10.538.260,10.518.090,11.238.090,11.465.090,11.465.090,11.465.090
29,"= Ergebnis(=Zeilen26,27,28)","51.204.810,21-",48.253.490-,46.421.660-,46.487.420-,47.121.010-,47.901.380-,48.297.440-
