Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"6.866.831,30",14.820.000,16.360.000,14.670.000,,,12.872.000,9.050.000,8.160.000
02,,"9.300,00",0,0,0,,,0,0,0
03,,"0,00",0,0,0,,,0,0,0
04,,"1.183.191,93",1.500.000,1.750.000,2.000.000,,,2.500.000,2.500.000,2.500.000
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"8.059.323,23",16.320.000,18.110.000,16.670.000,,,15.372.000,11.550.000,10.660.000
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"0,00",0,0,0,0,0,0,0,0
08,,"22.188.024,65",32.265.899,31.705.000,33.050.000,34.700.000,30.182.000,27.490.000,17.910.000,15.609.650
09,,"166.966,37",251.893,252.000,250.000,0,0,300.000,300.000,300.000
10,,"0,00",0,0,0,0,0,0,0,0
11,,"13.883.972,57",3.150.050,2.500.000,2.300.000,0,0,1.900.000,1.900.000,1.900.000
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"36.238.963,59",35.667.842,34.457.000,35.600.000,34.700.000,30.182.000,29.690.000,20.110.000,17.809.650
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"28.179.640,36-",19.347.842-,16.347.000-,18.930.000-,,,14.318.000-,8.560.000,- 7.149.650-
