Teilfinanzplan Ein-undAuszahlungsarten,,Ergebnis(€),Haushaltsansatz(€),,,Verpfl.-Erm.(€),,Planung(€),,
,,2024,2025,2026,2027,2026,2027,2028,2029,2030
01,Einzahlungen ausZuwendungenfür Investitionsmaßnahmen + ausderVeräußerungvon Sachanlagen + ausderVeräußerungvon Finanzanlagen + ausBeiträgenundähnlichen Entgelten + aussonstigenInvestitionen,"582.269,50",2.508.350,1.988.860,1.697.550,,,1.644.240,2.317.550,1.852.550
02,,"66.875,00",22.400,22.400,22.400,,,22.400,22.400,22.400
03,,"0,00",0,0,0,,,0,0,0
04,,"50.081,55",350.020,75.020,75.020,,,75.020,75.020,75.020
05,,"0,00",0,0,0,,,0,0,0
06,= Summederinvestiven Einzahlungen,"699.226,05",2.880.770,2.086.280,1.794.970,,,1.741.660,2.414.970,1.949.970
07,Auszahlungen - fürdenErwerbvonGrundstücken undGebäuden - fürBaumaßnahmen - fürdenErwerbvonbeweglichem Anlagevermögen - fürdenErwerbvon Finanzanlagen - vonaktivierbarenZuwendungen - aussonstigenInvestitionen,"20.002,65",8.510,7.510,7.510,0,0,7.510,7.510,7.510
08,,"5.534.441,13",14.995.159,5.904.870,6.690.870,7.170.000,3.695.000,6.940.400,8.250.400,4.475.400
09,,"713.908,97",1.943.120,1.767.650,842.310,681.600,681.620,842.330,842.330,842.330
10,,"0,00",0,0,0,0,0,0,0,0
11,,"0,00",0,0,0,0,0,0,0,0
12,,"0,00",0,0,0,0,0,0,0,0
13,= Summederinvestiven Auszahlungen,"6.268.352,75",16.946.789,7.680.030,7.540.690,7.851.600,4.376.620,7.790.240,9.100.240,5.325.240
14,= SaldoderInvestitionstätigkeit (Einzahlungen./.Auszahlungen),"5.569.126,70-",14.066.019-,5.593.750-,5.745.720-,,,6.048.580-,6.685.270,- 3.375.270-
